fy,abbr,state,County,County 2,"County, State",Local Board,type,count,aveWage,MedianWageByCounty
FY 2022,NE,Nebraska,* State Total,* State Total,"* State Total, NE",State,Completer Apprentices,531,25.58490722,23.73
FY 2022,AL,Alabama,* State Total,* State Total,"* State Total, AL",State,Completer Apprentices,514,25.27076605,25.43
FY 2022,MS,Mississippi,* State Total,* State Total,"* State Total, MS",State,Completer Apprentices,507,26.79085106,25.11
FY 2022,RI,Rhode Island,* State Total,* State Total,"* State Total, RI",State,Completer Apprentices,444,26.97720657,25
FY 2022,LA,Louisiana,* State Total,* State Total,"* State Total, LA",State,Completer Apprentices,392,22.0339433,22
FY 2022,OK,Oklahoma,* State Total,* State Total,"* State Total, OK",State,Completer Apprentices,379,31.75980609,31.61
FY 2022,KS,Kansas,* State Total,* State Total,"* State Total, KS",State,Completer Apprentices,370,28.79739812,30
FY 2022,NM,New Mexico,* State Total,* State Total,"* State Total, NM",State,Completer Apprentices,336,33.52672619,33.75
FY 2022,AK,Alaska,* State Total,* State Total,"* State Total, AK",State,Completer Apprentices,286,34.18038869,35.975
FY 2022,MT,Montana,* State Total,* State Total,"* State Total, MT",State,Completer Apprentices,283,30.29483755,30
FY 2022,DE,Delaware,* State Total,* State Total,"* State Total, DE",State,Completer Apprentices,230,28.41331776,25.01
FY 2022,VT,Vermont,* State Total,* State Total,"* State Total, VT",State,Completer Apprentices,172,25.48480519,22.16
FY 2022,Not Specified,Not Specified,* State Total,* State Total,"* State Total, Not Specified",State,Completer Apprentices,164,31.13275862,30
FY 2022,SD,South Dakota,* State Total,* State Total,"* State Total, SD",State,Completer Apprentices,162,27.38920863,22.275
FY 2022,ME,Maine,* State Total,* State Total,"* State Total, ME",State,Completer Apprentices,152,27.33161765,27.88
FY 2022,ND,North Dakota,* State Total,* State Total,"* State Total, ND",State,Completer Apprentices,142,37.18197183,37.57
FY 2022,WY,Wyoming,* State Total,* State Total,"* State Total, WY",State,Completer Apprentices,68,33.11970149,30.615
FY 2022,GU,Guam,* State Total,* State Total,"* State Total, GU",State,Completer Apprentices,31,17.72633333,18.05
FY 2022,PR,Puerto Rico,* State Total,* State Total,"* State Total, PR",State,Completer Apprentices,28,9.335714286,7.5
FY 2022,VI,US Virgin Islands,* State Total,* State Total,"* State Total, VI",State,Completer Apprentices,1,25,25
