fy,abbr,state,County,County 2,"County, State",type,count,avgWage,MedianWageByCounty
FY 2024,NE,Nebraska,Wayne County,Wayne,"Wayne, NE",Active Apprentices,0.0,25.68,26.18
FY 2024,NE,Nebraska,Stanton County,Stanton,"Stanton, NE",Active Apprentices,0.0,27.43,26.95
FY 2024,NE,Nebraska,Perkins County,Perkins,"Perkins, NE",Active Apprentices,0.0,23.88,23.35
FY 2024,NE,Nebraska,Dakota County,Dakota,"Dakota, NE",Active Apprentices,0.0,14.88,14.88
FY 2024,NE,Nebraska,Burt County,Burt,"Burt, NE",Active Apprentices,0.0,25.94,25.94
FY 2024,NE,Nebraska,Morrill County,Morrill,"Morrill, NE",Active Apprentices,0.0,20.17,20.97
FY 2024,NE,Nebraska,Knox County,Knox,"Knox, NE",Active Apprentices,0.0,25.93,25.75
FY 2024,NE,Nebraska,Sheridan County,Sheridan,"Sheridan, NE",Active Apprentices,0.0,31.14,31.14
FY 2024,NE,Nebraska,Phelps County,Phelps,"Phelps, NE",Active Apprentices,0.0,23.85,23.85
FY 2024,NE,Nebraska,Nuckolls County,Nuckolls,"Nuckolls, NE",Active Apprentices,0.0,36.5,36.5
FY 2024,NE,Nebraska,Nemaha County,Nemaha,"Nemaha, NE",Active Apprentices,0.0,29.54,29.54
FY 2024,NE,Nebraska,Pierce County,Pierce,"Pierce, NE",Active Apprentices,0.0,19.25,19.25
FY 2024,NE,Nebraska,Merrick County,Merrick,"Merrick, NE",Active Apprentices,0.0,11.5,11.5
FY 2024,NE,Nebraska,Furnas County,Furnas,"Furnas, NE",Active Apprentices,0.0,36.88,36.88
FY 2024,NE,Nebraska,Cuming County,Cuming,"Cuming, NE",Active Apprentices,0.0,31.74,31.74
FY 2025,NE,Nebraska,Sarpy County,Sarpy,"Sarpy, NE",Active Apprentices,2070.0,17.05,16.66
FY 2025,NE,Nebraska,Douglas County,Douglas,"Douglas, NE",Active Apprentices,2031.0,22.21,20.58
FY 2025,NE,Nebraska,Lancaster County,Lancaster,"Lancaster, NE",Active Apprentices,472.0,18.25,16.63
FY 2025,NE,Nebraska,Platte County,Platte,"Platte, NE",Active Apprentices,57.0,27.51,37.04
FY 2025,NE,Nebraska,Hall County,Hall,"Hall, NE",Active Apprentices,43.0,19.64,18
FY 2025,NE,Nebraska,Buffalo County,Buffalo,"Buffalo, NE",Active Apprentices,35.0,19.43,18.2
FY 2025,NE,Nebraska,Madison County,Madison,"Madison, NE",Active Apprentices,29.0,20.86,19.21
FY 2025,NE,Nebraska,Lincoln County,Lincoln,"Lincoln, NE",Active Apprentices,20.0,23.01,23
FY 2025,NE,Nebraska,Cheyenne County,Cheyenne,"Cheyenne, NE",Active Apprentices,10.0,25.99,23.5
FY 2025,NE,Nebraska,Scotts Bluff County,Scotts Bluff,"Scotts Bluff, NE",Active Apprentices,0.0,18.39,15
FY 2025,NE,Nebraska,Perkins County,Perkins,"Perkins, NE",Active Apprentices,0.0,26.88,24.46
FY 2025,NE,Nebraska,Wayne County,Wayne,"Wayne, NE",Active Apprentices,0.0,24.63,26.18
FY 2025,NE,Nebraska,Dakota County,Dakota,"Dakota, NE",Active Apprentices,0.0,15.35,16
FY 2025,NE,Nebraska,Custer County,Custer,"Custer, NE",Active Apprentices,0.0,25.55,25.46
FY 2025,NE,Nebraska,Box Butte County,Box Butte,"Box Butte, NE",Active Apprentices,0.0,28.6,28.6
FY 2025,NE,Nebraska,Stanton County,Stanton,"Stanton, NE",Active Apprentices,0.0,27.42,26.45
FY 2025,NE,Nebraska,Phelps County,Phelps,"Phelps, NE",Active Apprentices,0.0,23.41,22.53
FY 2025,NE,Nebraska,Nemaha County,Nemaha,"Nemaha, NE",Active Apprentices,0.0,30.03,29.54
FY 2025,NE,Nebraska,Morrill County,Morrill,"Morrill, NE",Active Apprentices,0.0,20.17,20.97
FY 2025,NE,Nebraska,Burt County,Burt,"Burt, NE",Active Apprentices,0.0,25.75,26.33
FY 2025,NE,Nebraska,Nuckolls County,Nuckolls,"Nuckolls, NE",Active Apprentices,0.0,34.13,34.13
FY 2025,NE,Nebraska,Sheridan County,Sheridan,"Sheridan, NE",Active Apprentices,0.0,29.1,29.1
FY 2025,NE,Nebraska,Merrick County,Merrick,"Merrick, NE",Active Apprentices,0.0,11.5,11.5
FY 2025,NE,Nebraska,Knox County,Knox,"Knox, NE",Active Apprentices,0.0,27.04,27.04
FY 2025,NE,Nebraska,Cuming County,Cuming,"Cuming, NE",Active Apprentices,0.0,28.55,28.55
FY 2026,NE,Nebraska,Douglas County,Douglas,"Douglas, NE",Active Apprentices,2071.0,22.27,20.95
FY 2026,NE,Nebraska,Sarpy County,Sarpy,"Sarpy, NE",Active Apprentices,1834.0,17.29,16.66
FY 2026,NE,Nebraska,Lancaster County,Lancaster,"Lancaster, NE",Active Apprentices,518.0,18.67,17.05
FY 2026,NE,Nebraska,Platte County,Platte,"Platte, NE",Active Apprentices,58.0,27.69,37.04
FY 2026,NE,Nebraska,Hall County,Hall,"Hall, NE",Active Apprentices,35.0,17.72,18
FY 2026,NE,Nebraska,Buffalo County,Buffalo,"Buffalo, NE",Active Apprentices,35.0,18.76,18
FY 2026,NE,Nebraska,Madison County,Madison,"Madison, NE",Active Apprentices,31.0,20.2,19.21
FY 2026,NE,Nebraska,Lincoln County,Lincoln,"Lincoln, NE",Active Apprentices,19.0,23.27,23
FY 2026,NE,Nebraska,Scotts Bluff County,Scotts Bluff,"Scotts Bluff, NE",Active Apprentices,11.0,18.86,15
FY 2026,NE,Nebraska,Cheyenne County,Cheyenne,"Cheyenne, NE",Active Apprentices,0.0,25.97,23.5
FY 2026,NE,Nebraska,Wayne County,Wayne,"Wayne, NE",Active Apprentices,0.0,24.63,26.18
FY 2026,NE,Nebraska,Perkins County,Perkins,"Perkins, NE",Active Apprentices,0.0,29.71,26.59
FY 2026,NE,Nebraska,Dakota County,Dakota,"Dakota, NE",Active Apprentices,0.0,15.35,16
FY 2026,NE,Nebraska,Nemaha County,Nemaha,"Nemaha, NE",Active Apprentices,0.0,29.91,29.54
FY 2026,NE,Nebraska,Box Butte County,Box Butte,"Box Butte, NE",Active Apprentices,0.0,28.75,28.91
FY 2026,NE,Nebraska,Morrill County,Morrill,"Morrill, NE",Active Apprentices,0.0,20.17,20.97
FY 2026,NE,Nebraska,Custer County,Custer,"Custer, NE",Active Apprentices,0.0,27.8,25.46
FY 2026,NE,Nebraska,Burt County,Burt,"Burt, NE",Active Apprentices,0.0,25.75,26.33
FY 2026,NE,Nebraska,Stanton County,Stanton,"Stanton, NE",Active Apprentices,0.0,26.45,26.45
FY 2026,NE,Nebraska,Phelps County,Phelps,"Phelps, NE",Active Apprentices,0.0,23.85,23.85
FY 2026,NE,Nebraska,Nuckolls County,Nuckolls,"Nuckolls, NE",Active Apprentices,0.0,31.75,31.75
FY 2026,NE,Nebraska,Merrick County,Merrick,"Merrick, NE",Active Apprentices,0.0,11.5,11.5
FY 2026,NE,Nebraska,Knox County,Knox,"Knox, NE",Active Apprentices,0.0,27.04,27.04
FY 2026,NE,Nebraska,Fillmore County,Fillmore,"Fillmore, NE",Active Apprentices,0.0,20,20
FY 2026,NE,Nebraska,Cuming County,Cuming,"Cuming, NE",Active Apprentices,0.0,28.55,28.55
FY 2020,NV,Nevada,Clark County,Clark,"Clark, NV",Active Apprentices,3826.0,20.55,19.48
FY 2020,NV,Nevada,Washoe County,Washoe,"Washoe, NV",Active Apprentices,1331.0,17.69,15.6
FY 2020,NV,Nevada,Douglas County,Douglas,"Douglas, NV",Active Apprentices,27.0,17.2,17
FY 2020,NV,Nevada,Lincoln County,Lincoln,"Lincoln, NV",Active Apprentices,0.0,28.09,27.66
FY 2020,NV,Nevada,Nye County,Nye,"Nye, NV",Active Apprentices,0.0,36.15,34.8
FY 2020,NV,Nevada,Carson City,Carson,"Carson, NV",Active Apprentices,0.0,14,14
FY 2021,NV,Nevada,Clark County,Clark,"Clark, NV",Active Apprentices,3621.0,20.62,19.48
FY 2021,NV,Nevada,Washoe County,Washoe,"Washoe, NV",Active Apprentices,1510.0,18.39,16.5
FY 2021,NV,Nevada,Douglas County,Douglas,"Douglas, NV",Active Apprentices,17.0,18.24,18
FY 2021,NV,Nevada,Nye County,Nye,"Nye, NV",Active Apprentices,0.0,35.87,35.69
FY 2021,NV,Nevada,Lincoln County,Lincoln,"Lincoln, NV",Active Apprentices,0.0,28.8,27.88
FY 2021,NV,Nevada,Carson City,Carson,"Carson, NV",Active Apprentices,0.0,14,14
FY 2022,NV,Nevada,Clark County,Clark,"Clark, NV",Active Apprentices,3720.0,21.63,20
FY 2022,NV,Nevada,Washoe County,Washoe,"Washoe, NV",Active Apprentices,1381.0,19.15,17.13
FY 2022,NV,Nevada,Douglas County,Douglas,"Douglas, NV",Active Apprentices,15.0,17.47,18
FY 2022,NV,Nevada,Nye County,Nye,"Nye, NV",Active Apprentices,10.0,35.84,36.23
FY 2022,NV,Nevada,Lincoln County,Lincoln,"Lincoln, NV",Active Apprentices,0.0,30.78,30.78
FY 2022,NV,Nevada,Carson City,Carson,"Carson, NV",Active Apprentices,0.0,14,14
FY 2023,NV,Nevada,Clark County,Clark,"Clark, NV",Active Apprentices,4586.0,22.62,21.14
FY 2023,NV,Nevada,Washoe County,Washoe,"Washoe, NV",Active Apprentices,1400.0,19.84,18.03
FY 2023,NV,Nevada,Nye County,Nye,"Nye, NV",Active Apprentices,10.0,37.17,36.85
FY 2023,NV,Nevada,Douglas County,Douglas,"Douglas, NV",Active Apprentices,0.0,19,18
FY 2023,NV,Nevada,Carson City,Carson,"Carson, NV",Active Apprentices,0.0,16.4,17
FY 2023,NV,Nevada,Lincoln County,Lincoln,"Lincoln, NV",Active Apprentices,0.0,31.09,31.09
FY 2024,NV,Nevada,Clark County,Clark,"Clark, NV",Active Apprentices,4829.0,21.6,20.59
FY 2024,NV,Nevada,Washoe County,Washoe,"Washoe, NV",Active Apprentices,1542.0,20.41,19.47
FY 2024,NV,Nevada,Nye County,Nye,"Nye, NV",Active Apprentices,11.0,37.85,36.93
FY 2024,NV,Nevada,Douglas County,Douglas,"Douglas, NV",Active Apprentices,10.0,20.3,20
FY 2024,NV,Nevada,Carson City,Carson,"Carson, NV",Active Apprentices,10.0,17,17
FY 2024,NV,Nevada,Lincoln County,Lincoln,"Lincoln, NV",Active Apprentices,0.0,31.09,31.09
FY 2025,NV,Nevada,Clark County,Clark,"Clark, NV",Active Apprentices,5518.0,21.72,21
FY 2025,NV,Nevada,Washoe County,Washoe,"Washoe, NV",Active Apprentices,2602.0,21.03,21
FY 2025,NV,Nevada,Douglas County,Douglas,"Douglas, NV",Active Apprentices,14.0,18.43,18.5
FY 2025,NV,Nevada,Nye County,Nye,"Nye, NV",Active Apprentices,12.0,40.57,40.76
FY 2025,NV,Nevada,Carson City,Carson,"Carson, NV",Active Apprentices,11.0,17,17
FY 2025,NV,Nevada,Lincoln County,Lincoln,"Lincoln, NV",Active Apprentices,0.0,31.4,31.4
FY 2026,NV,Nevada,Clark County,Clark,"Clark, NV",Active Apprentices,5590.0,21.84,21.14
FY 2026,NV,Nevada,Washoe County,Washoe,"Washoe, NV",Active Apprentices,2779.0,21.24,21
FY 2026,NV,Nevada,Carson City,Carson,"Carson, NV",Active Apprentices,24.0,17,17
FY 2026,NV,Nevada,Douglas County,Douglas,"Douglas, NV",Active Apprentices,14.0,18.43,18.5
FY 2026,NV,Nevada,Nye County,Nye,"Nye, NV",Active Apprentices,11.0,40.9,41.55
FY 2026,NV,Nevada,Lincoln County,Lincoln,"Lincoln, NV",Active Apprentices,0.0,31.4,31.4
FY 2020,NH,New Hampshire,York County,York,"York, NH",Active Apprentices,1242.0,19.55,18.55
FY 2020,NH,New Hampshire,Hillsborough County,Hillsborough,"Hillsborough, NH",Active Apprentices,549.0,15.23,14
FY 2020,NH,New Hampshire,Rockingham County,Rockingham,"Rockingham, NH",Active Apprentices,429.0,16.15,15
FY 2020,NH,New Hampshire,Merrimack County,Merrimack,"Merrimack, NH",Active Apprentices,274.0,15.16,14.48
FY 2020,NH,New Hampshire,Grafton County,Grafton,"Grafton, NH",Active Apprentices,196.0,14.54,14.5
FY 2020,NH,New Hampshire,Strafford County,Strafford,"Strafford, NH",Active Apprentices,44.0,14.93,15.5
FY 2020,NH,New Hampshire,Cheshire County,Cheshire,"Cheshire, NH",Active Apprentices,39.0,14.62,14
FY 2020,NH,New Hampshire,Belknap County,Belknap,"Belknap, NH",Active Apprentices,36.0,15.29,15
FY 2020,NH,New Hampshire,Carroll County,Carroll,"Carroll, NH",Active Apprentices,22.0,15.5,15
FY 2020,NH,New Hampshire,Coos County,Coos,"Coos, NH",Active Apprentices,20.0,13.81,11
FY 2020,NH,New Hampshire,Sullivan County,Sullivan,"Sullivan, NH",Active Apprentices,11.0,14.05,12
FY 2021,NH,New Hampshire,York County,York,"York, NH",Active Apprentices,1040.0,19.81,19.55
FY 2021,NH,New Hampshire,Rockingham County,Rockingham,"Rockingham, NH",Active Apprentices,506.0,16.38,15.07
FY 2021,NH,New Hampshire,Hillsborough County,Hillsborough,"Hillsborough, NH",Active Apprentices,467.0,15.96,15
FY 2021,NH,New Hampshire,Merrimack County,Merrimack,"Merrimack, NH",Active Apprentices,299.0,15.52,15
FY 2021,NH,New Hampshire,Grafton County,Grafton,"Grafton, NH",Active Apprentices,271.0,13.63,14
FY 2021,NH,New Hampshire,Strafford County,Strafford,"Strafford, NH",Active Apprentices,48.0,14.72,15
FY 2021,NH,New Hampshire,Cheshire County,Cheshire,"Cheshire, NH",Active Apprentices,42.0,15.62,15
FY 2021,NH,New Hampshire,Belknap County,Belknap,"Belknap, NH",Active Apprentices,42.0,15.15,15
FY 2021,NH,New Hampshire,Coos County,Coos,"Coos, NH",Active Apprentices,19.0,14.34,13.5
FY 2021,NH,New Hampshire,Carroll County,Carroll,"Carroll, NH",Active Apprentices,19.0,16.74,16
FY 2021,NH,New Hampshire,Sullivan County,Sullivan,"Sullivan, NH",Active Apprentices,15.0,13.57,13.09
FY 2022,NH,New Hampshire,York County,York,"York, NH",Active Apprentices,980.0,20.36,19.75
FY 2022,NH,New Hampshire,Rockingham County,Rockingham,"Rockingham, NH",Active Apprentices,545.0,16.84,16.5
FY 2022,NH,New Hampshire,Hillsborough County,Hillsborough,"Hillsborough, NH",Active Apprentices,475.0,17.57,16.5
FY 2022,NH,New Hampshire,Merrimack County,Merrimack,"Merrimack, NH",Active Apprentices,373.0,16.31,15.1
FY 2022,NH,New Hampshire,Grafton County,Grafton,"Grafton, NH",Active Apprentices,266.0,13.07,12.04
FY 2022,NH,New Hampshire,Cheshire County,Cheshire,"Cheshire, NH",Active Apprentices,50.0,16.36,16
FY 2022,NH,New Hampshire,Strafford County,Strafford,"Strafford, NH",Active Apprentices,45.0,16.88,16
FY 2022,NH,New Hampshire,Belknap County,Belknap,"Belknap, NH",Active Apprentices,34.0,15.02,15
FY 2022,NH,New Hampshire,Coos County,Coos,"Coos, NH",Active Apprentices,27.0,15.62,14
FY 2022,NH,New Hampshire,Carroll County,Carroll,"Carroll, NH",Active Apprentices,23.0,16.43,15
FY 2022,NH,New Hampshire,Sullivan County,Sullivan,"Sullivan, NH",Active Apprentices,17.0,13.06,13.09
FY 2023,NH,New Hampshire,York County,York,"York, NH",Active Apprentices,975.0,21.17,20.34
FY 2023,NH,New Hampshire,Hillsborough County,Hillsborough,"Hillsborough, NH",Active Apprentices,597.0,18.04,17
FY 2023,NH,New Hampshire,Rockingham County,Rockingham,"Rockingham, NH",Active Apprentices,580.0,18.02,17
FY 2023,NH,New Hampshire,Merrimack County,Merrimack,"Merrimack, NH",Active Apprentices,411.0,16.88,15.73
FY 2023,NH,New Hampshire,Grafton County,Grafton,"Grafton, NH",Active Apprentices,258.0,13.57,12.04
FY 2023,NH,New Hampshire,Belknap County,Belknap,"Belknap, NH",Active Apprentices,57.0,15.83,15
FY 2023,NH,New Hampshire,Strafford County,Strafford,"Strafford, NH",Active Apprentices,48.0,17.19,16
FY 2023,NH,New Hampshire,Cheshire County,Cheshire,"Cheshire, NH",Active Apprentices,47.0,16.37,16
FY 2023,NH,New Hampshire,Coos County,Coos,"Coos, NH",Active Apprentices,30.0,16.77,14.25
FY 2023,NH,New Hampshire,Carroll County,Carroll,"Carroll, NH",Active Apprentices,24.0,17.17,17.25
FY 2023,NH,New Hampshire,Sullivan County,Sullivan,"Sullivan, NH",Active Apprentices,12.0,13.94,12.5
FY 2024,NH,New Hampshire,York County,York,"York, NH",Active Apprentices,1135.0,22.94,23.13
FY 2024,NH,New Hampshire,Hillsborough County,Hillsborough,"Hillsborough, NH",Active Apprentices,767.0,18.64,17
FY 2024,NH,New Hampshire,Rockingham County,Rockingham,"Rockingham, NH",Active Apprentices,577.0,18.23,17.5
FY 2024,NH,New Hampshire,Merrimack County,Merrimack,"Merrimack, NH",Active Apprentices,403.0,17.61,16.17
FY 2024,NH,New Hampshire,Grafton County,Grafton,"Grafton, NH",Active Apprentices,227.0,14.1,12.04
FY 2024,NH,New Hampshire,Belknap County,Belknap,"Belknap, NH",Active Apprentices,56.0,16.97,17.2
FY 2024,NH,New Hampshire,Cheshire County,Cheshire,"Cheshire, NH",Active Apprentices,54.0,16.08,16
FY 2024,NH,New Hampshire,Strafford County,Strafford,"Strafford, NH",Active Apprentices,51.0,18.5,17
FY 2024,NH,New Hampshire,Coos County,Coos,"Coos, NH",Active Apprentices,37.0,17.4,15
FY 2024,NH,New Hampshire,Carroll County,Carroll,"Carroll, NH",Active Apprentices,26.0,16.5,15
FY 2024,NH,New Hampshire,Sullivan County,Sullivan,"Sullivan, NH",Active Apprentices,22.0,15.6,17.5
FY 2025,NH,New Hampshire,York County,York,"York, NH",Active Apprentices,1045.0,23.51,24.39
FY 2025,NH,New Hampshire,Hillsborough County,Hillsborough,"Hillsborough, NH",Active Apprentices,806.0,18.37,17
FY 2025,NH,New Hampshire,Rockingham County,Rockingham,"Rockingham, NH",Active Apprentices,664.0,18.8,17.5
FY 2025,NH,New Hampshire,Merrimack County,Merrimack,"Merrimack, NH",Active Apprentices,414.0,18.24,17.5
FY 2025,NH,New Hampshire,Grafton County,Grafton,"Grafton, NH",Active Apprentices,301.0,14.79,12.04
FY 2025,NH,New Hampshire,Cheshire County,Cheshire,"Cheshire, NH",Active Apprentices,61.0,16.83,18
FY 2025,NH,New Hampshire,Belknap County,Belknap,"Belknap, NH",Active Apprentices,59.0,17.48,18
FY 2025,NH,New Hampshire,Strafford County,Strafford,"Strafford, NH",Active Apprentices,48.0,18.09,18
FY 2025,NH,New Hampshire,Coos County,Coos,"Coos, NH",Active Apprentices,37.0,17.76,16
FY 2025,NH,New Hampshire,Sullivan County,Sullivan,"Sullivan, NH",Active Apprentices,26.0,15.69,18.5
FY 2025,NH,New Hampshire,Carroll County,Carroll,"Carroll, NH",Active Apprentices,24.0,17.21,17
FY 2026,NH,New Hampshire,York County,York,"York, NH",Active Apprentices,1098.0,23.93,24.39
FY 2026,NH,New Hampshire,Hillsborough County,Hillsborough,"Hillsborough, NH",Active Apprentices,838.0,18.3,17
FY 2026,NH,New Hampshire,Rockingham County,Rockingham,"Rockingham, NH",Active Apprentices,648.0,18.87,17.5
FY 2026,NH,New Hampshire,Merrimack County,Merrimack,"Merrimack, NH",Active Apprentices,377.0,18.52,17.67
FY 2026,NH,New Hampshire,Grafton County,Grafton,"Grafton, NH",Active Apprentices,317.0,15.44,14
FY 2026,NH,New Hampshire,Cheshire County,Cheshire,"Cheshire, NH",Active Apprentices,61.0,16.6,18
FY 2026,NH,New Hampshire,Belknap County,Belknap,"Belknap, NH",Active Apprentices,51.0,16.86,18
FY 2026,NH,New Hampshire,Strafford County,Strafford,"Strafford, NH",Active Apprentices,39.0,17.25,17.5
FY 2026,NH,New Hampshire,Coos County,Coos,"Coos, NH",Active Apprentices,37.0,17.49,16
FY 2026,NH,New Hampshire,Carroll County,Carroll,"Carroll, NH",Active Apprentices,27.0,17.56,17
FY 2026,NH,New Hampshire,Sullivan County,Sullivan,"Sullivan, NH",Active Apprentices,26.0,15.56,18.25
FY 2020,NJ,New Jersey,Middlesex County,Middlesex,"Middlesex, NJ",Active Apprentices,3038.0,19.03,18.58
FY 2020,NJ,New Jersey,Monmouth County,Monmouth,"Monmouth, NJ",Active Apprentices,731.0,17.22,16.13
FY 2020,NJ,New Jersey,Essex County,Essex,"Essex, NJ",Active Apprentices,614.0,21.04,16.94
FY 2020,NJ,New Jersey,Bergen County,Bergen,"Bergen, NJ",Active Apprentices,510.0,15.6,15.95
FY 2020,NJ,New Jersey,Union County,Union,"Union, NJ",Active Apprentices,483.0,20.36,21.65
FY 2020,NJ,New Jersey,Mercer County,Mercer,"Mercer, NJ",Active Apprentices,397.0,16.77,15.5
FY 2020,NJ,New Jersey,Morris County,Morris,"Morris, NJ",Active Apprentices,378.0,19.88,21.35
FY 2020,NJ,New Jersey,Atlantic County,Atlantic,"Atlantic, NJ",Active Apprentices,361.0,18.29,14.93
FY 2020,NJ,New Jersey,Burlington County,Burlington,"Burlington, NJ",Active Apprentices,223.0,21.55,17.28
FY 2020,NJ,New Jersey,Hunterdon County,Hunterdon,"Hunterdon, NJ",Active Apprentices,153.0,13.44,22.8
FY 2020,NJ,New Jersey,Somerset County,Somerset,"Somerset, NJ",Active Apprentices,127.0,18.21,17.32
FY 2020,NJ,New Jersey,Passaic County,Passaic,"Passaic, NJ",Active Apprentices,98.0,18.42,17.26
FY 2020,NJ,New Jersey,Ocean County,Ocean,"Ocean, NJ",Active Apprentices,66.0,16.33,15
FY 2020,NJ,New Jersey,Gloucester County,Gloucester,"Gloucester, NJ",Active Apprentices,64.0,16.47,15.75
FY 2020,NJ,New Jersey,Camden County,Camden,"Camden, NJ",Active Apprentices,60.0,16.23,16
FY 2020,NJ,New Jersey,Cumberland County,Cumberland,"Cumberland, NJ",Active Apprentices,59.0,15.19,22.8
FY 2020,NJ,New Jersey,Warren County,Warren,"Warren, NJ",Active Apprentices,11.0,14.64,13.77
FY 2020,NJ,New Jersey,Sussex County,Sussex,"Sussex, NJ",Active Apprentices,0.0,16.73,16
FY 2020,NJ,New Jersey,Salem County,Salem,"Salem, NJ",Active Apprentices,0.0,18.56,20
FY 2020,NJ,New Jersey,Hudson County,Hudson,"Hudson, NJ",Active Apprentices,0.0,22.83,25
FY 2020,NJ,New Jersey,Cape May County,Cape May,"Cape May, NJ",Active Apprentices,0.0,16.5,18
FY 2021,NJ,New Jersey,Middlesex County,Middlesex,"Middlesex, NJ",Active Apprentices,3061.0,19.3,18.91
FY 2021,NJ,New Jersey,Essex County,Essex,"Essex, NJ",Active Apprentices,962.0,26.9,33.71
FY 2021,NJ,New Jersey,Monmouth County,Monmouth,"Monmouth, NJ",Active Apprentices,753.0,17.7,16.59
FY 2021,NJ,New Jersey,Bergen County,Bergen,"Bergen, NJ",Active Apprentices,541.0,16.31,15.98
FY 2021,NJ,New Jersey,Morris County,Morris,"Morris, NJ",Active Apprentices,502.0,20.26,21.85
FY 2021,NJ,New Jersey,Union County,Union,"Union, NJ",Active Apprentices,495.0,21.01,21.72
FY 2021,NJ,New Jersey,Atlantic County,Atlantic,"Atlantic, NJ",Active Apprentices,404.0,17.65,14.93
FY 2021,NJ,New Jersey,Mercer County,Mercer,"Mercer, NJ",Active Apprentices,378.0,17.67,15.51
FY 2021,NJ,New Jersey,Burlington County,Burlington,"Burlington, NJ",Active Apprentices,204.0,20.82,17.42
FY 2021,NJ,New Jersey,Somerset County,Somerset,"Somerset, NJ",Active Apprentices,140.0,18.69,17.96
FY 2021,NJ,New Jersey,Ocean County,Ocean,"Ocean, NJ",Active Apprentices,127.0,17.68,17
FY 2021,NJ,New Jersey,Gloucester County,Gloucester,"Gloucester, NJ",Active Apprentices,97.0,19.01,17
FY 2021,NJ,New Jersey,Passaic County,Passaic,"Passaic, NJ",Active Apprentices,95.0,18.43,17.5
FY 2021,NJ,New Jersey,Camden County,Camden,"Camden, NJ",Active Apprentices,80.0,16.17,16
FY 2021,NJ,New Jersey,Hunterdon County,Hunterdon,"Hunterdon, NJ",Active Apprentices,54.0,14.12,14
FY 2021,NJ,New Jersey,Salem County,Salem,"Salem, NJ",Active Apprentices,22.0,17.89,15.5
FY 2021,NJ,New Jersey,Hudson County,Hudson,"Hudson, NJ",Active Apprentices,21.0,33.14,42.55
FY 2021,NJ,New Jersey,Sussex County,Sussex,"Sussex, NJ",Active Apprentices,20.0,18.43,18
FY 2021,NJ,New Jersey,Cumberland County,Cumberland,"Cumberland, NJ",Active Apprentices,18.0,14.18,12.5
FY 2021,NJ,New Jersey,Warren County,Warren,"Warren, NJ",Active Apprentices,14.0,15.99,16
FY 2021,NJ,New Jersey,Cape May County,Cape May,"Cape May, NJ",Active Apprentices,0.0,17.85,18
FY 2022,NJ,New Jersey,Middlesex County,Middlesex,"Middlesex, NJ",Active Apprentices,2465.0,20.07,19.48
FY 2022,NJ,New Jersey,Essex County,Essex,"Essex, NJ",Active Apprentices,1185.0,28.1,33.71
FY 2022,NJ,New Jersey,Monmouth County,Monmouth,"Monmouth, NJ",Active Apprentices,814.0,18.68,17.19
FY 2022,NJ,New Jersey,Bergen County,Bergen,"Bergen, NJ",Active Apprentices,589.0,16.57,16
FY 2022,NJ,New Jersey,Mercer County,Mercer,"Mercer, NJ",Active Apprentices,514.0,18.92,16.5
FY 2022,NJ,New Jersey,Morris County,Morris,"Morris, NJ",Active Apprentices,512.0,20.94,22.37
FY 2022,NJ,New Jersey,Union County,Union,"Union, NJ",Active Apprentices,445.0,21.93,21.88
FY 2022,NJ,New Jersey,Atlantic County,Atlantic,"Atlantic, NJ",Active Apprentices,394.0,17.83,14.93
FY 2022,NJ,New Jersey,Camden County,Camden,"Camden, NJ",Active Apprentices,329.0,20.05,20
FY 2022,NJ,New Jersey,Burlington County,Burlington,"Burlington, NJ",Active Apprentices,253.0,18.68,16
FY 2022,NJ,New Jersey,Ocean County,Ocean,"Ocean, NJ",Active Apprentices,196.0,17.94,17
FY 2022,NJ,New Jersey,Somerset County,Somerset,"Somerset, NJ",Active Apprentices,158.0,19.8,18.5
FY 2022,NJ,New Jersey,Gloucester County,Gloucester,"Gloucester, NJ",Active Apprentices,116.0,18.81,17
FY 2022,NJ,New Jersey,Passaic County,Passaic,"Passaic, NJ",Active Apprentices,115.0,19.62,18.4
FY 2022,NJ,New Jersey,Hunterdon County,Hunterdon,"Hunterdon, NJ",Active Apprentices,60.0,14.46,13.75
FY 2022,NJ,New Jersey,Cumberland County,Cumberland,"Cumberland, NJ",Active Apprentices,41.0,18.14,16.74
FY 2022,NJ,New Jersey,Salem County,Salem,"Salem, NJ",Active Apprentices,34.0,16.76,15
FY 2022,NJ,New Jersey,Sussex County,Sussex,"Sussex, NJ",Active Apprentices,25.0,17.9,17
FY 2022,NJ,New Jersey,Warren County,Warren,"Warren, NJ",Active Apprentices,13.0,16.64,16.69
FY 2022,NJ,New Jersey,Hudson County,Hudson,"Hudson, NJ",Active Apprentices,11.0,29.34,31
FY 2022,NJ,New Jersey,Cape May County,Cape May,"Cape May, NJ",Active Apprentices,0.0,17.08,15.97
FY 2023,NJ,New Jersey,Middlesex County,Middlesex,"Middlesex, NJ",Active Apprentices,2240.0,20.96,20.76
FY 2023,NJ,New Jersey,Essex County,Essex,"Essex, NJ",Active Apprentices,1507.0,29.44,34.35
FY 2023,NJ,New Jersey,Monmouth County,Monmouth,"Monmouth, NJ",Active Apprentices,1009.0,19.4,17.69
FY 2023,NJ,New Jersey,Bergen County,Bergen,"Bergen, NJ",Active Apprentices,609.0,17.36,16.69
FY 2023,NJ,New Jersey,Morris County,Morris,"Morris, NJ",Active Apprentices,580.0,21.37,22.81
