level,state,board_name,quarter,total,adult,dw,youth,ra,ra_adult,ra_dw,ra_youth,ojt,ra_ojt,ita,ra_ita,ss,ra_ss
board,GU,Guam Sda,PY20_Q1,201,75,61,2,0,0,0,0,0,0,12,0,0,0
board,GU,Guam Sda,PY20_Q2,241,70,92,1,0,0,0,0,0,0,12,0,0,0
board,GU,Guam Sda,PY20_Q3,257,65,117,4,0,0,0,0,0,0,11,0,0,0
board,GU,Guam Sda,PY20_Q4,239,62,130,4,0,0,0,0,0,0,7,0,0,0
board,GU,Guam Sda,PY21_Q1,243,118,148,10,11,10,8,0,0,0,45,10,4,0
board,GU,Guam Sda,PY21_Q2,224,133,113,17,13,12,8,0,0,0,49,10,5,0
board,GU,Guam Sda,PY21_Q3,229,158,88,23,13,12,8,0,0,0,62,10,5,0
board,GU,Guam Sda,PY21_Q4,197,149,57,26,11,10,7,0,0,0,54,10,3,0
board,GU,Guam Sda,PY22_Q1,205,162,46,36,27,26,7,0,0,0,69,27,5,0
board,GU,Guam Sda,PY22_Q2,169,142,23,25,23,22,4,0,0,0,70,23,4,0
board,GU,Guam Sda,PY22_Q3,212,123,18,85,21,20,3,0,0,0,61,21,4,0
board,GU,Guam Sda,PY22_Q4,213,110,8,105,18,18,0,0,0,0,51,18,3,0
board,GU,Guam Sda,PY23_Q1,381,101,188,103,18,18,0,0,0,0,85,18,17,0
board,GU,Guam Sda,PY23_Q2,448,92,215,150,18,18,0,0,0,0,144,18,21,0
board,GU,Guam Sda,PY23_Q3,478,85,240,162,18,18,0,0,0,0,145,18,23,0
board,GU,Guam Sda,PY23_Q4,450,71,240,147,18,18,0,0,0,0,121,18,23,0
board,HI,Blank-HI ETACode,PY23_Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,HI,Blank-HI ETACode,PY23_Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,HI,Blank-HI ETACode,PY23_Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,HI,Blank-HI ETACode,PY23_Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
state,HI,HI,PY20_Q1,627,293,164,225,16,16,0,0,2,0,245,14,195,14
state,HI,HI,PY20_Q2,624,311,172,209,16,16,0,0,2,0,248,14,191,14
state,HI,HI,PY20_Q3,618,309,165,215,16,16,0,0,2,0,245,14,189,14
state,HI,HI,PY20_Q4,658,320,190,225,16,16,0,0,1,0,238,14,205,14
state,HI,HI,PY21_Q1,619,314,169,210,12,12,0,0,1,0,227,12,219,12
state,HI,HI,PY21_Q2,564,280,145,199,10,10,0,0,4,0,189,10,211,10
state,HI,HI,PY21_Q3,538,273,136,189,4,4,0,0,5,0,166,4,196,4
state,HI,HI,PY21_Q4,525,289,121,170,3,3,0,0,5,0,166,3,181,3
state,HI,HI,PY22_Q1,507,312,111,139,4,4,0,0,8,0,203,3,223,4
state,HI,HI,PY22_Q2,465,291,95,123,2,2,0,0,8,0,181,2,201,2
state,HI,HI,PY22_Q3,415,261,76,111,2,2,0,0,5,0,150,2,171,2
state,HI,HI,PY22_Q4,398,243,71,113,3,3,0,0,5,0,131,2,156,3
state,HI,HI,PY23_Q1,434,252,72,101,2,2,0,0,3,0,167,2,172,2
state,HI,HI,PY23_Q2,672,297,79,110,3,3,0,0,6,0,190,3,202,3
state,HI,HI,PY23_Q3,927,380,98,115,2,2,0,0,7,0,221,2,235,2
state,HI,HI,PY23_Q4,1153,473,129,125,2,2,0,0,10,0,229,2,251,2
board,HI,Kauai Workforce Investment Board Office of Ecomonic Development,PY20_Q1,31,11,20,0,1,1,0,0,0,0,20,1,0,0
board,HI,Kauai Workforce Investment Board Office of Ecomonic Development,PY20_Q2,32,11,21,0,1,1,0,0,0,0,20,1,0,0
board,HI,Kauai Workforce Investment Board Office of Ecomonic Development,PY20_Q3,25,9,16,0,1,1,0,0,0,0,16,1,0,0
board,HI,Kauai Workforce Investment Board Office of Ecomonic Development,PY20_Q4,22,9,13,0,1,1,0,0,0,0,13,1,0,0
board,HI,Kauai Workforce Investment Board Office of Ecomonic Development,PY21_Q1,14,7,7,0,0,0,0,0,0,0,6,0,0,0
board,HI,Kauai Workforce Investment Board Office of Ecomonic Development,PY21_Q2,11,7,4,0,0,0,0,0,0,0,3,0,0,0
board,HI,Kauai Workforce Investment Board Office of Ecomonic Development,PY21_Q3,10,6,4,0,0,0,0,0,0,0,0,0,0,0
board,HI,Kauai Workforce Investment Board Office of Ecomonic Development,PY21_Q4,13,7,5,1,0,0,0,0,0,0,1,0,0,0
board,HI,Kauai Workforce Investment Board Office of Ecomonic Development,PY22_Q1,19,11,6,2,0,0,0,0,0,0,2,0,0,0
board,HI,Kauai Workforce Investment Board Office of Ecomonic Development,PY22_Q2,16,8,6,2,0,0,0,0,1,0,3,0,1,0
board,HI,Kauai Workforce Investment Board Office of Ecomonic Development,PY22_Q3,15,8,5,2,0,0,0,0,1,0,3,0,1,0
board,HI,Kauai Workforce Investment Board Office of Ecomonic Development,PY22_Q4,13,8,3,2,0,0,0,0,1,0,2,0,1,0
board,HI,Kauai Workforce Investment Board Office of Ecomonic Development,PY23_Q1,15,10,2,2,0,0,0,0,1,0,5,0,2,0
board,HI,Kauai Workforce Investment Board Office of Ecomonic Development,PY23_Q2,15,8,3,2,0,0,0,0,1,0,5,0,2,0
board,HI,Kauai Workforce Investment Board Office of Ecomonic Development,PY23_Q3,17,8,2,3,0,0,0,0,0,0,4,0,2,0
board,HI,Kauai Workforce Investment Board Office of Ecomonic Development,PY23_Q4,25,12,2,3,0,0,0,0,0,0,4,0,2,0
board,HI,Maui County Workforce Investment Board,PY20_Q1,100,30,33,49,0,0,0,0,1,0,9,0,4,0
board,HI,Maui County Workforce Investment Board,PY20_Q2,107,44,36,49,0,0,0,0,1,0,10,0,4,0
board,HI,Maui County Workforce Investment Board,PY20_Q3,119,52,37,57,0,0,0,0,1,0,12,0,7,0
board,HI,Maui County Workforce Investment Board,PY20_Q4,125,60,40,57,0,0,0,0,0,0,11,0,9,0
board,HI,Maui County Workforce Investment Board,PY21_Q1,126,72,38,56,0,0,0,0,0,0,13,0,14,0
board,HI,Maui County Workforce Investment Board,PY21_Q2,129,78,46,55,0,0,0,0,0,0,13,0,15,0
board,HI,Maui County Workforce Investment Board,PY21_Q3,130,83,48,51,0,0,0,0,0,0,13,0,17,0
board,HI,Maui County Workforce Investment Board,PY21_Q4,116,83,44,37,0,0,0,0,0,0,11,0,13,0
board,HI,Maui County Workforce Investment Board,PY22_Q1,90,77,42,17,0,0,0,0,0,0,14,0,26,0
board,HI,Maui County Workforce Investment Board,PY22_Q2,83,70,36,16,0,0,0,0,0,0,14,0,25,0
board,HI,Maui County Workforce Investment Board,PY22_Q3,63,50,26,14,0,0,0,0,0,0,13,0,22,0
board,HI,Maui County Workforce Investment Board,PY22_Q4,77,55,27,20,0,0,0,0,0,0,12,0,24,0
board,HI,Maui County Workforce Investment Board,PY23_Q1,92,63,27,20,0,0,0,0,0,0,13,0,36,0
board,HI,Maui County Workforce Investment Board,PY23_Q2,218,60,27,25,0,0,0,0,0,0,13,0,43,0
board,HI,Maui County Workforce Investment Board,PY23_Q3,339,68,33,28,0,0,0,0,0,0,13,0,49,0
board,HI,Maui County Workforce Investment Board,PY23_Q4,428,85,36,30,0,0,0,0,0,0,15,0,52,0
board,HI,Oahu Workforce Investment Board,PY20_Q1,256,107,49,100,15,15,0,0,1,0,132,13,135,14
board,HI,Oahu Workforce Investment Board,PY20_Q2,264,114,53,97,15,15,0,0,1,0,137,13,136,14
board,HI,Oahu Workforce Investment Board,PY20_Q3,261,107,59,92,15,15,0,0,1,0,128,13,133,14
board,HI,Oahu Workforce Investment Board,PY20_Q4,308,111,88,104,15,15,0,0,1,0,138,13,150,14
board,HI,Oahu Workforce Investment Board,PY21_Q1,280,105,82,85,12,12,0,0,1,0,137,12,140,12
board,HI,Oahu Workforce Investment Board,PY21_Q2,256,96,71,80,10,10,0,0,3,0,125,10,131,10
board,HI,Oahu Workforce Investment Board,PY21_Q3,215,75,59,74,4,4,0,0,3,0,105,4,108,4
board,HI,Oahu Workforce Investment Board,PY21_Q4,197,80,43,67,3,3,0,0,3,0,96,3,98,3
board,HI,Oahu Workforce Investment Board,PY22_Q1,181,82,34,62,4,4,0,0,3,0,103,3,93,4
board,HI,Oahu Workforce Investment Board,PY22_Q2,146,66,23,56,2,2,0,0,2,0,78,2,74,2
board,HI,Oahu Workforce Investment Board,PY22_Q3,107,49,14,44,2,2,0,0,1,0,51,2,54,2
board,HI,Oahu Workforce Investment Board,PY22_Q4,102,49,13,39,3,3,0,0,2,0,47,2,49,3
board,HI,Oahu Workforce Investment Board,PY23_Q1,135,62,22,27,2,2,0,0,2,0,63,2,42,2
board,HI,Oahu Workforce Investment Board,PY23_Q2,254,124,29,30,3,3,0,0,2,0,95,3,73,3
board,HI,Oahu Workforce Investment Board,PY23_Q3,384,209,41,26,2,2,0,0,3,0,133,2,105,2
board,HI,Oahu Workforce Investment Board,PY23_Q4,514,279,69,36,2,2,0,0,6,0,144,2,125,2
board,HI,Office of Housing and Community Development,PY20_Q1,240,145,62,76,0,0,0,0,0,0,84,0,56,0
board,HI,Office of Housing and Community Development,PY20_Q2,221,142,62,63,0,0,0,0,0,0,81,0,51,0
board,HI,Office of Housing and Community Development,PY20_Q3,213,141,53,66,0,0,0,0,0,0,89,0,49,0
board,HI,Office of Housing and Community Development,PY20_Q4,203,140,49,64,0,0,0,0,0,0,76,0,46,0
board,HI,Office of Housing and Community Development,PY21_Q1,199,130,42,69,0,0,0,0,0,0,71,0,65,0
board,HI,Office of Housing and Community Development,PY21_Q2,168,99,24,64,0,0,0,0,1,0,48,0,65,0
board,HI,Office of Housing and Community Development,PY21_Q3,183,109,25,64,0,0,0,0,2,0,48,0,71,0
board,HI,Office of Housing and Community Development,PY21_Q4,199,119,29,65,0,0,0,0,2,0,58,0,70,0
board,HI,Office of Housing and Community Development,PY22_Q1,217,142,29,58,0,0,0,0,5,0,84,0,104,0
board,HI,Office of Housing and Community Development,PY22_Q2,220,147,30,49,0,0,0,0,5,0,86,0,101,0
board,HI,Office of Housing and Community Development,PY22_Q3,230,154,31,51,0,0,0,0,3,0,83,0,94,0
board,HI,Office of Housing and Community Development,PY22_Q4,206,131,28,52,0,0,0,0,2,0,70,0,82,0
board,HI,Office of Housing and Community Development,PY23_Q1,192,117,21,52,0,0,0,0,0,0,86,0,92,0
board,HI,Office of Housing and Community Development,PY23_Q2,185,105,20,53,0,0,0,0,3,0,77,0,84,0
board,HI,Office of Housing and Community Development,PY23_Q3,187,95,22,58,0,0,0,0,4,0,71,0,79,0
board,HI,Office of Housing and Community Development,PY23_Q4,186,97,22,56,0,0,0,0,4,0,66,0,72,0
board,IA,Blank-IA ETACode,PY23_Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,IA,Blank-IA ETACode,PY23_Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,IA,Blank-IA ETACode,PY23_Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,IA,Blank-IA ETACode,PY23_Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,IA,ETACode - 14000,PY20_Q1,618,338,242,157,2,1,0,2,5,0,342,1,392,2
board,IA,ETACode - 14000,PY20_Q2,573,317,216,146,2,1,0,2,7,0,292,1,361,2
board,IA,ETACode - 14000,PY20_Q3,584,316,213,147,2,1,0,2,11,0,277,1,349,2
board,IA,ETACode - 14000,PY20_Q4,600,299,221,148,1,1,0,1,11,0,230,1,309,1
board,IA,ETACode - 14000,PY21_Q1,645,332,236,131,2,2,0,1,18,0,296,1,388,1
board,IA,ETACode - 14000,PY21_Q2,658,347,236,127,2,2,0,1,16,0,301,1,393,1
board,IA,ETACode - 14000,PY21_Q3,690,345,258,136,2,2,0,1,15,0,312,1,391,1
board,IA,ETACode - 14000,PY21_Q4,722,364,243,147,2,2,0,1,11,0,318,1,400,1
board,IA,ETACode - 14000,PY22_Q1,766,365,275,162,22,9,12,2,17,0,383,11,520,15
board,IA,ETACode - 14000,PY22_Q2,728,341,239,178,21,12,8,2,16,0,369,10,532,15
board,IA,ETACode - 14000,PY22_Q3,707,326,213,199,15,10,5,1,12,0,317,7,494,12
board,IA,ETACode - 14000,PY22_Q4,686,302,189,222,12,8,4,1,12,0,277,6,468,11
state,IA,IA,PY20_Q1,883,469,317,258,2,1,0,2,6,0,471,1,565,2
state,IA,IA,PY20_Q2,809,424,285,240,2,1,0,2,8,0,401,1,513,2
state,IA,IA,PY20_Q3,822,411,281,245,2,1,0,2,14,0,370,1,494,2
state,IA,IA,PY20_Q4,850,381,288,264,1,1,0,1,14,0,306,1,457,1
state,IA,IA,PY21_Q1,928,431,319,248,2,2,0,1,30,0,393,1,567,1
state,IA,IA,PY21_Q2,971,451,331,255,2,2,0,1,32,0,404,1,574,1
state,IA,IA,PY21_Q3,1039,460,370,269,2,2,0,1,33,0,426,1,577,1
state,IA,IA,PY21_Q4,1103,488,352,304,2,2,0,1,23,0,454,1,609,1
state,IA,IA,PY22_Q1,1202,514,407,332,36,16,16,5,32,1,557,20,800,20
state,IA,IA,PY22_Q2,1141,477,359,350,35,19,13,4,25,0,539,19,812,21
state,IA,IA,PY22_Q3,1151,467,341,383,25,14,10,2,19,0,482,13,782,16
state,IA,IA,PY22_Q4,1146,447,291,442,20,11,8,2,18,0,418,10,759,14
state,IA,IA,PY23_Q1,1042,421,262,404,24,15,10,1,17,1,375,10,756,14
state,IA,IA,PY23_Q2,940,378,212,388,22,15,9,1,10,1,344,9,688,13
state,IA,IA,PY23_Q3,920,406,184,367,20,13,8,2,10,1,332,7,653,12
state,IA,IA,PY23_Q4,904,415,170,357,17,11,7,3,7,1,315,7,606,9
board,IA,IowaWORKS Central Iowa LWDA-19135,PY23_Q1,260,84,52,130,8,5,2,1,4,0,48,2,177,2
board,IA,IowaWORKS Central Iowa LWDA-19135,PY23_Q2,250,90,41,122,6,5,0,1,2,0,56,1,175,2
board,IA,IowaWORKS Central Iowa LWDA-19135,PY23_Q3,241,92,33,117,4,2,0,2,2,0,51,1,164,3
board,IA,IowaWORKS Central Iowa LWDA-19135,PY23_Q4,209,74,31,105,3,1,0,2,1,0,47,1,141,3
board,IA,IowaWORKS East Central Iowa-19130,PY23_Q1,125,50,25,53,1,0,1,0,3,0,62,1,95,0
board,IA,IowaWORKS East Central Iowa-19130,PY23_Q2,128,47,26,57,1,0,1,0,2,0,58,1,90,0
board,IA,IowaWORKS East Central Iowa-19130,PY23_Q3,160,74,26,62,1,0,1,0,3,0,86,1,123,0
board,IA,IowaWORKS East Central Iowa-19130,PY23_Q4,181,92,23,68,1,0,1,0,2,0,94,1,136,0
board,IA,IowaWORKS Mississippi Valley LWDA-19085,PY23_Q1,248,72,79,98,2,0,2,0,3,0,68,1,188,1
board,IA,IowaWORKS Mississippi Valley LWDA-19085,PY23_Q2,219,61,58,101,2,0,2,0,1,0,61,1,173,1
board,IA,IowaWORKS Mississippi Valley LWDA-19085,PY23_Q3,195,53,50,93,2,0,2,0,2,0,46,1,152,1
board,IA,IowaWORKS Mississippi Valley LWDA-19085,PY23_Q4,199,63,48,88,1,0,1,0,1,0,42,1,143,0
board,IA,IowaWORKS North Central Iowa LWDA-19115,PY23_Q1,37,13,22,6,0,0,0,0,0,0,17,0,24,0
board,IA,IowaWORKS North Central Iowa LWDA-19115,PY23_Q2,23,8,14,3,0,0,0,0,0,0,14,0,19,0
board,IA,IowaWORKS North Central Iowa LWDA-19115,PY23_Q3,23,12,11,3,1,1,0,0,0,0,13,0,17,0
board,IA,IowaWORKS North Central Iowa LWDA-19115,PY23_Q4,22,14,9,3,1,1,0,0,0,0,11,0,13,0
board,IA,IowaWORKS Northeast Iowa LWDA-19110,PY23_Q1,128,63,24,50,7,7,0,0,1,0,45,2,86,7
board,IA,IowaWORKS Northeast Iowa LWDA-19110,PY23_Q2,88,39,13,42,6,6,0,0,1,0,30,2,64,6
board,IA,IowaWORKS Northeast Iowa LWDA-19110,PY23_Q3,62,26,8,31,6,6,0,0,0,0,23,2,46,6
board,IA,IowaWORKS Northeast Iowa LWDA-19110,PY23_Q4,52,20,7,28,4,4,0,0,0,0,17,2,35,4
board,IA,IowaWORKS Northwest Iowa LWDA-19160,PY23_Q1,16,9,7,3,2,2,2,0,0,0,8,1,11,1
board,IA,IowaWORKS Northwest Iowa LWDA-19160,PY23_Q2,19,12,11,2,2,2,2,0,0,0,6,1,7,1
board,IA,IowaWORKS Northwest Iowa LWDA-19160,PY23_Q3,28,19,15,3,3,2,3,0,0,0,5,1,7,1
board,IA,IowaWORKS Northwest Iowa LWDA-19160,PY23_Q4,34,22,15,8,5,4,4,1,0,0,4,1,6,1
board,IA,IowaWORKS South Central Iowa LWDA-19065,PY23_Q1,184,108,38,53,3,0,3,0,3,0,112,3,154,3
board,IA,IowaWORKS South Central Iowa LWDA-19065,PY23_Q2,171,99,33,52,3,0,3,0,2,0,103,3,145,3
board,IA,IowaWORKS South Central Iowa LWDA-19065,PY23_Q3,162,96,27,52,1,0,1,0,2,0,95,1,132,1
board,IA,IowaWORKS South Central Iowa LWDA-19065,PY23_Q4,156,91,26,52,1,0,1,0,2,0,87,1,122,1
board,IA,IowaWORKS Southwest Iowa LWDA-19150,PY23_Q1,13,7,1,5,0,0,0,0,0,0,3,0,9,0
board,IA,IowaWORKS Southwest Iowa LWDA-19150,PY23_Q2,9,5,0,4,0,0,0,0,0,0,2,0,5,0
board,IA,IowaWORKS Southwest Iowa LWDA-19150,PY23_Q3,6,3,0,3,0,0,0,0,0,0,2,0,4,0
board,IA,IowaWORKS Southwest Iowa LWDA-19150,PY23_Q4,3,1,0,2,0,0,0,0,0,0,1,0,3,0
board,IA,IowaWORKS Western Iowa LWDA-19175,PY23_Q1,31,15,14,6,1,1,0,0,3,1,12,0,12,0
board,IA,IowaWORKS Western Iowa LWDA-19175,PY23_Q2,33,17,16,5,2,2,1,0,2,1,14,0,10,0
board,IA,IowaWORKS Western Iowa LWDA-19175,PY23_Q3,43,31,14,3,2,2,1,0,1,1,11,0,8,0
board,IA,IowaWORKS Western Iowa LWDA-19175,PY23_Q4,48,38,11,3,1,1,0,0,1,1,12,0,7,0
board,IA,R01 IowaWORKS Northeast Iowa,PY20_Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,IA,R01 IowaWORKS Northeast Iowa,PY20_Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,IA,R01 IowaWORKS Northeast Iowa,PY20_Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,IA,R01 IowaWORKS Northeast Iowa,PY20_Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,IA,R01 IowaWORKS Northeast Iowa,PY21_Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,IA,R01 IowaWORKS Northeast Iowa,PY21_Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,IA,R01 IowaWORKS Northeast Iowa,PY21_Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,IA,R01 IowaWORKS Northeast Iowa,PY21_Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,IA,R02 IowaWORKS North Iowa,PY20_Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,IA,R02 IowaWORKS North Iowa,PY20_Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,IA,R02 IowaWORKS North Iowa,PY20_Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,IA,R02 IowaWORKS North Iowa,PY20_Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,IA,R02 IowaWORKS North Iowa,PY21_Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,IA,R02 IowaWORKS North Iowa,PY21_Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,IA,R02 IowaWORKS North Iowa,PY21_Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,IA,R02 IowaWORKS North Iowa,PY21_Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,IA,R03-04 IowaWORKS Northwest Iowa,PY20_Q1,9,5,2,4,0,0,0,0,0,0,4,0,5,0
board,IA,R03-04 IowaWORKS Northwest Iowa,PY20_Q2,7,5,2,2,0,0,0,0,0,0,3,0,3,0
board,IA,R03-04 IowaWORKS Northwest Iowa,PY20_Q3,5,3,1,1,0,0,0,0,0,0,1,0,1,0
board,IA,R03-04 IowaWORKS Northwest Iowa,PY20_Q4,6,3,1,2,0,0,0,0,0,0,1,0,1,0
board,IA,R03-04 IowaWORKS Northwest Iowa,PY21_Q1,6,2,1,3,0,0,0,0,0,0,4,0,4,0
board,IA,R03-04 IowaWORKS Northwest Iowa,PY21_Q2,9,5,2,2,0,0,0,0,0,0,6,0,5,0
board,IA,R03-04 IowaWORKS Northwest Iowa,PY21_Q3,12,7,4,1,0,0,0,0,0,0,7,0,4,0
board,IA,R03-04 IowaWORKS Northwest Iowa,PY21_Q4,15,7,8,0,0,0,0,0,0,0,11,0,5,0
board,IA,R03-04 IowaWORKS Northwest Iowa,PY22_Q1,15,5,10,0,0,0,0,0,0,0,13,0,7,0
board,IA,R03-04 IowaWORKS Northwest Iowa,PY22_Q2,16,4,7,3,1,0,1,0,0,0,13,1,11,1
board,IA,R03-04 IowaWORKS Northwest Iowa,PY22_Q3,19,4,7,7,1,0,1,0,0,0,10,1,14,1
board,IA,R03-04 IowaWORKS Northwest Iowa,PY22_Q4,20,4,6,9,1,0,1,0,0,0,9,1,14,1
board,IA,R05 IowaWORKS North Central Iowa,PY20_Q1,41,24,15,10,0,0,0,0,1,0,24,0,29,0
board,IA,R05 IowaWORKS North Central Iowa,PY20_Q2,41,20,20,8,0,0,0,0,1,0,20,0,25,0
board,IA,R05 IowaWORKS North Central Iowa,PY20_Q3,46,19,26,7,0,0,0,0,1,0,19,0,24,0
board,IA,R05 IowaWORKS North Central Iowa,PY20_Q4,47,16,25,8,0,0,0,0,1,0,15,0,20,0
board,IA,R05 IowaWORKS North Central Iowa,PY21_Q1,46,15,27,9,0,0,0,0,2,0,18,0,32,0
board,IA,R05 IowaWORKS North Central Iowa,PY21_Q2,42,14,24,9,0,0,0,0,2,0,17,0,31,0
board,IA,R05 IowaWORKS North Central Iowa,PY21_Q3,45,14,25,11,0,0,0,0,2,0,17,0,33,0
board,IA,R05 IowaWORKS North Central Iowa,PY21_Q4,46,13,25,9,0,0,0,0,2,0,18,0,31,0
board,IA,R05 IowaWORKS North Central Iowa,PY22_Q1,47,13,26,9,0,0,0,0,2,0,18,0,32,0
board,IA,R05 IowaWORKS North Central Iowa,PY22_Q2,40,14,21,8,0,0,0,0,1,0,15,0,26,0
board,IA,R05 IowaWORKS North Central Iowa,PY22_Q3,46,14,22,8,0,0,0,0,0,0,18,0,28,0
board,IA,R05 IowaWORKS North Central Iowa,PY22_Q4,43,13,20,7,0,0,0,0,0,0,17,0,26,0
board,IA,R06 IowaWORKS Iowa Valley,PY20_Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,IA,R06 IowaWORKS Iowa Valley,PY20_Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,IA,R06 IowaWORKS Iowa Valley,PY20_Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,IA,R06 IowaWORKS Iowa Valley,PY20_Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,IA,R06 IowaWORKS Iowa Valley,PY21_Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,IA,R06 IowaWORKS Iowa Valley,PY21_Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,IA,R06 IowaWORKS Iowa Valley,PY21_Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,IA,R06 IowaWORKS Iowa Valley,PY21_Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,IA,R07 IowaWORKS Cedar Valley,PY20_Q1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
board,IA,R07 IowaWORKS Cedar Valley,PY20_Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,IA,R07 IowaWORKS Cedar Valley,PY20_Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,IA,R07 IowaWORKS Cedar Valley,PY20_Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,IA,R07 IowaWORKS Cedar Valley,PY21_Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,IA,R07 IowaWORKS Cedar Valley,PY21_Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,IA,R07 IowaWORKS Cedar Valley,PY21_Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,IA,R07 IowaWORKS Cedar Valley,PY21_Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,IA,R08 IowaWORKS Western Iowa,PY20_Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,IA,R08 IowaWORKS Western Iowa,PY20_Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,IA,R08 IowaWORKS Western Iowa,PY20_Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,IA,R08 IowaWORKS Western Iowa,PY20_Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,IA,R08 IowaWORKS Western Iowa,PY21_Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,IA,R08 IowaWORKS Western Iowa,PY21_Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,IA,R08 IowaWORKS Western Iowa,PY21_Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,IA,R08 IowaWORKS Western Iowa,PY21_Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,IA,R09 IowaWORKS Eastern Iowa,PY20_Q1,1,0,0,1,0,0,0,0,0,0,1,0,1,0
board,IA,R09 IowaWORKS Eastern Iowa,PY20_Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,IA,R09 IowaWORKS Eastern Iowa,PY20_Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,IA,R09 IowaWORKS Eastern Iowa,PY20_Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,IA,R09 IowaWORKS Eastern Iowa,PY21_Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,IA,R09 IowaWORKS Eastern Iowa,PY21_Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,IA,R09 IowaWORKS Eastern Iowa,PY21_Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,IA,R09 IowaWORKS Eastern Iowa,PY21_Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,IA,R10 IowaWORKS Workforce Development,PY20_Q1,96,39,18,44,0,0,0,0,0,0,47,0,67,0
board,IA,R10 IowaWORKS Workforce Development,PY20_Q2,89,37,17,39,0,0,0,0,0,0,47,0,61,0
board,IA,R10 IowaWORKS Workforce Development,PY20_Q3,93,34,18,45,0,0,0,0,0,0,41,0,64,0
board,IA,R10 IowaWORKS Workforce Development,PY20_Q4,95,30,17,51,0,0,0,0,0,0,34,0,64,0
board,IA,R10 IowaWORKS Workforce Development,PY21_Q1,96,34,18,45,0,0,0,0,0,0,41,0,69,0
board,IA,R10 IowaWORKS Workforce Development,PY21_Q2,99,36,19,44,0,0,0,0,0,0,46,0,68,0
board,IA,R10 IowaWORKS Workforce Development,PY21_Q3,107,42,21,43,0,0,0,0,0,0,44,0,65,0
board,IA,R10 IowaWORKS Workforce Development,PY21_Q4,107,45,15,48,0,0,0,0,0,0,48,0,68,0
board,IA,R10 IowaWORKS Workforce Development,PY22_Q1,114,46,17,53,2,0,1,1,2,0,60,2,89,1
