fy,abbr,state,County,County 2,"County, State",Local Board,type,count,aveWage,MedianWageByCounty
FY 2024,MA,Massachusetts,* State Total,* State Total,"* State Total, MA",State,Completer Apprentices,1810,33.25,24.00
FY 2025,MA,Massachusetts,* State Total,* State Total,"* State Total, MA",State,Completer Apprentices,1379,32.75,23.25
FY 2026,MA,Massachusetts,* State Total,* State Total,"* State Total, MA",State,Completer Apprentices,181,40.59,38.65
FY 2020,MI,Michigan,* State Total,* State Total,"* State Total, MI",State,Completer Apprentices,2504,28.13,28.16
FY 2021,MI,Michigan,* State Total,* State Total,"* State Total, MI",State,Completer Apprentices,2731,27.72,25.39
FY 2022,MI,Michigan,* State Total,* State Total,"* State Total, MI",State,Completer Apprentices,2980,29.65,27.50
FY 2023,MI,Michigan,* State Total,* State Total,"* State Total, MI",State,Completer Apprentices,2732,30.93,27.09
FY 2024,MI,Michigan,* State Total,* State Total,"* State Total, MI",State,Completer Apprentices,2617,33.27,29.26
FY 2025,MI,Michigan,* State Total,* State Total,"* State Total, MI",State,Completer Apprentices,3020,33.55,31.84
FY 2026,MI,Michigan,* State Total,* State Total,"* State Total, MI",State,Completer Apprentices,1319,35.04,27.00
FY 2020,MN,Minnesota,* State Total,* State Total,"* State Total, MN",State,Completer Apprentices,1572,33.86,31.67
FY 2021,MN,Minnesota,* State Total,* State Total,"* State Total, MN",State,Completer Apprentices,1879,35.55,32.85
FY 2022,MN,Minnesota,* State Total,* State Total,"* State Total, MN",State,Completer Apprentices,1736,36.61,35.60
FY 2023,MN,Minnesota,* State Total,* State Total,"* State Total, MN",State,Completer Apprentices,1793,40.21,38.11
FY 2024,MN,Minnesota,* State Total,* State Total,"* State Total, MN",State,Completer Apprentices,2023,42.21,39.97
FY 2025,MN,Minnesota,* State Total,* State Total,"* State Total, MN",State,Completer Apprentices,1851,43.49,45.61
FY 2026,MN,Minnesota,* State Total,* State Total,"* State Total, MN",State,Completer Apprentices,647,42.31,45.39
FY 2020,MS,Mississippi,* State Total,* State Total,"* State Total, MS",State,Completer Apprentices,448,24.81,25.42
FY 2021,MS,Mississippi,* State Total,* State Total,"* State Total, MS",State,Completer Apprentices,547,25.14,27.85
FY 2022,MS,Mississippi,* State Total,* State Total,"* State Total, MS",State,Completer Apprentices,507,26.55,28.45
FY 2023,MS,Mississippi,* State Total,* State Total,"* State Total, MS",State,Completer Apprentices,710,26.39,28.65
FY 2024,MS,Mississippi,* State Total,* State Total,"* State Total, MS",State,Completer Apprentices,773,24.36,29.75
FY 2025,MS,Mississippi,* State Total,* State Total,"* State Total, MS",State,Completer Apprentices,659,25.25,27.00
FY 2026,MS,Mississippi,* State Total,* State Total,"* State Total, MS",State,Completer Apprentices,386,26.06,29.15
FY 2020,MO,Missouri,* State Total,* State Total,"* State Total, MO",State,Completer Apprentices,3562,28.20,22.86
FY 2021,MO,Missouri,* State Total,* State Total,"* State Total, MO",State,Completer Apprentices,3281,31.56,27.00
FY 2022,MO,Missouri,* State Total,* State Total,"* State Total, MO",State,Completer Apprentices,3218,31.88,26.73
FY 2023,MO,Missouri,* State Total,* State Total,"* State Total, MO",State,Completer Apprentices,3659,30.60,25.78
FY 2024,MO,Missouri,* State Total,* State Total,"* State Total, MO",State,Completer Apprentices,4040,33.50,28.28
FY 2025,MO,Missouri,* State Total,* State Total,"* State Total, MO",State,Completer Apprentices,5221,29.36,30.00
FY 2026,MO,Missouri,* State Total,* State Total,"* State Total, MO",State,Completer Apprentices,2261,33.98,30.27
FY 2020,MT,Montana,* State Total,* State Total,"* State Total, MT",State,Completer Apprentices,267,25.68,25.00
FY 2021,MT,Montana,* State Total,* State Total,"* State Total, MT",State,Completer Apprentices,317,27.47,26.00
FY 2022,MT,Montana,* State Total,* State Total,"* State Total, MT",State,Completer Apprentices,284,30.40,28.00
FY 2023,MT,Montana,* State Total,* State Total,"* State Total, MT",State,Completer Apprentices,295,32.27,30.66
FY 2024,MT,Montana,* State Total,* State Total,"* State Total, MT",State,Completer Apprentices,306,32.44,30.25
FY 2025,MT,Montana,* State Total,* State Total,"* State Total, MT",State,Completer Apprentices,356,33.47,30.50
FY 2026,MT,Montana,* State Total,* State Total,"* State Total, MT",State,Completer Apprentices,139,33.28,32.00
FY 2020,NE,Nebraska,* State Total,* State Total,"* State Total, NE",State,Completer Apprentices,910,20.91,22.57
FY 2021,NE,Nebraska,* State Total,* State Total,"* State Total, NE",State,Completer Apprentices,597,23.09,29.52
FY 2022,NE,Nebraska,* State Total,* State Total,"* State Total, NE",State,Completer Apprentices,532,25.97,27.84
FY 2023,NE,Nebraska,* State Total,* State Total,"* State Total, NE",State,Completer Apprentices,586,27.40,26.28
FY 2024,NE,Nebraska,* State Total,* State Total,"* State Total, NE",State,Completer Apprentices,1085,23.71,28.19
FY 2025,NE,Nebraska,* State Total,* State Total,"* State Total, NE",State,Completer Apprentices,1179,31.24,32.69
FY 2026,NE,Nebraska,* State Total,* State Total,"* State Total, NE",State,Completer Apprentices,334,26.24,36.33
FY 2020,NV,Nevada,* State Total,* State Total,"* State Total, NV",State,Completer Apprentices,730,33.76,33.16
FY 2021,NV,Nevada,* State Total,* State Total,"* State Total, NV",State,Completer Apprentices,794,36.13,27.54
FY 2022,NV,Nevada,* State Total,* State Total,"* State Total, NV",State,Completer Apprentices,941,39.02,42.39
FY 2023,NV,Nevada,* State Total,* State Total,"* State Total, NV",State,Completer Apprentices,1112,38.92,34.91
FY 2024,NV,Nevada,* State Total,* State Total,"* State Total, NV",State,Completer Apprentices,1062,41.23,32.47
FY 2025,NV,Nevada,* State Total,* State Total,"* State Total, NV",State,Completer Apprentices,1072,39.18,39.50
FY 2026,NV,Nevada,* State Total,* State Total,"* State Total, NV",State,Completer Apprentices,523,39.68,40.90
FY 2020,NH,New Hampshire,* State Total,* State Total,"* State Total, NH",State,Completer Apprentices,537,22.68,20.20
FY 2021,NH,New Hampshire,* State Total,* State Total,"* State Total, NH",State,Completer Apprentices,709,22.95,21.73
FY 2022,NH,New Hampshire,* State Total,* State Total,"* State Total, NH",State,Completer Apprentices,609,24.69,24.09
FY 2023,NH,New Hampshire,* State Total,* State Total,"* State Total, NH",State,Completer Apprentices,570,26.24,25.25
FY 2024,NH,New Hampshire,* State Total,* State Total,"* State Total, NH",State,Completer Apprentices,560,26.44,27.08
FY 2025,NH,New Hampshire,* State Total,* State Total,"* State Total, NH",State,Completer Apprentices,586,27.44,25.00
FY 2026,NH,New Hampshire,* State Total,* State Total,"* State Total, NH",State,Completer Apprentices,232,28.64,26.00
FY 2020,NJ,New Jersey,* State Total,* State Total,"* State Total, NJ",State,Completer Apprentices,1002,39.37,34.11
FY 2021,NJ,New Jersey,* State Total,* State Total,"* State Total, NJ",State,Completer Apprentices,1281,36.46,25.01
FY 2022,NJ,New Jersey,* State Total,* State Total,"* State Total, NJ",State,Completer Apprentices,1707,39.71,30.00
FY 2023,NJ,New Jersey,* State Total,* State Total,"* State Total, NJ",State,Completer Apprentices,2095,37.99,27.88
FY 2024,NJ,New Jersey,* State Total,* State Total,"* State Total, NJ",State,Completer Apprentices,2301,36.43,28.00
FY 2025,NJ,New Jersey,* State Total,* State Total,"* State Total, NJ",State,Completer Apprentices,2280,38.20,33.50
FY 2026,NJ,New Jersey,* State Total,* State Total,"* State Total, NJ",State,Completer Apprentices,967,37.12,30.00
FY 2020,NM,New Mexico,* State Total,* State Total,"* State Total, NM",State,Completer Apprentices,234,32.30,26.38
FY 2021,NM,New Mexico,* State Total,* State Total,"* State Total, NM",State,Completer Apprentices,321,34.54,23.57
FY 2022,NM,New Mexico,* State Total,* State Total,"* State Total, NM",State,Completer Apprentices,336,33.75,29.15
FY 2023,NM,New Mexico,* State Total,* State Total,"* State Total, NM",State,Completer Apprentices,297,34.81,34.69
FY 2024,NM,New Mexico,* State Total,* State Total,"* State Total, NM",State,Completer Apprentices,363,34.97,37.34
FY 2025,NM,New Mexico,* State Total,* State Total,"* State Total, NM",State,Completer Apprentices,207,40.42,26.23
FY 2026,NM,New Mexico,* State Total,* State Total,"* State Total, NM",State,Completer Apprentices,65,49.07,46.54
FY 2020,NY,New York,* State Total,* State Total,"* State Total, NY",State,Completer Apprentices,440,19.64,19.62
FY 2021,NY,New York,* State Total,* State Total,"* State Total, NY",State,Completer Apprentices,2498,24.29,19.23
FY 2022,NY,New York,* State Total,* State Total,"* State Total, NY",State,Completer Apprentices,3146,25.74,21.15
FY 2023,NY,New York,* State Total,* State Total,"* State Total, NY",State,Completer Apprentices,2673,32.90,29.79
FY 2024,NY,New York,* State Total,* State Total,"* State Total, NY",State,Completer Apprentices,2452,32.52,34.72
FY 2025,NY,New York,* State Total,* State Total,"* State Total, NY",State,Completer Apprentices,2071,32.28,32.73
FY 2026,NY,New York,* State Total,* State Total,"* State Total, NY",State,Completer Apprentices,242,28.91,29.37
FY 2020,NC,North Carolina,* State Total,* State Total,"* State Total, NC",State,Completer Apprentices,3442,21.17,18.93
FY 2021,NC,North Carolina,* State Total,* State Total,"* State Total, NC",State,Completer Apprentices,4831,23.11,21.00
FY 2022,NC,North Carolina,* State Total,* State Total,"* State Total, NC",State,Completer Apprentices,1919,24.02,21.20
FY 2023,NC,North Carolina,* State Total,* State Total,"* State Total, NC",State,Completer Apprentices,2612,25.13,22.81
FY 2024,NC,North Carolina,* State Total,* State Total,"* State Total, NC",State,Completer Apprentices,2751,24.47,20.38
FY 2025,NC,North Carolina,* State Total,* State Total,"* State Total, NC",State,Completer Apprentices,3107,25.21,19.05
FY 2026,NC,North Carolina,* State Total,* State Total,"* State Total, NC",State,Completer Apprentices,831,28.35,21.00
FY 2020,ND,North Dakota,* State Total,* State Total,"* State Total, ND",State,Completer Apprentices,143,34.20,42.18
FY 2021,ND,North Dakota,* State Total,* State Total,"* State Total, ND",State,Completer Apprentices,168,36.16,44.62
FY 2022,ND,North Dakota,* State Total,* State Total,"* State Total, ND",State,Completer Apprentices,142,36.66,45.03
FY 2023,ND,North Dakota,* State Total,* State Total,"* State Total, ND",State,Completer Apprentices,147,36.88,48.14
FY 2024,ND,North Dakota,* State Total,* State Total,"* State Total, ND",State,Completer Apprentices,181,38.03,49.16
FY 2025,ND,North Dakota,* State Total,* State Total,"* State Total, ND",State,Completer Apprentices,252,35.64,48.36
FY 2026,ND,North Dakota,* State Total,* State Total,"* State Total, ND",State,Completer Apprentices,98,37.10,51.28
FY 2020,OH,Ohio,* State Total,* State Total,"* State Total, OH",State,Completer Apprentices,3080,30.64,29.39
FY 2021,OH,Ohio,* State Total,* State Total,"* State Total, OH",State,Completer Apprentices,3335,32.26,28.91
FY 2022,OH,Ohio,* State Total,* State Total,"* State Total, OH",State,Completer Apprentices,3461,32.81,28.62
FY 2023,OH,Ohio,* State Total,* State Total,"* State Total, OH",State,Completer Apprentices,3598,33.31,30.15
FY 2024,OH,Ohio,* State Total,* State Total,"* State Total, OH",State,Completer Apprentices,3573,34.43,31.62
FY 2025,OH,Ohio,* State Total,* State Total,"* State Total, OH",State,Completer Apprentices,3980,35.35,31.90
FY 2026,OH,Ohio,* State Total,* State Total,"* State Total, OH",State,Completer Apprentices,1602,36.55,33.90
FY 2020,OK,Oklahoma,* State Total,* State Total,"* State Total, OK",State,Completer Apprentices,240,30.74,28.00
FY 2021,OK,Oklahoma,* State Total,* State Total,"* State Total, OK",State,Completer Apprentices,229,30.31,31.61
FY 2022,OK,Oklahoma,* State Total,* State Total,"* State Total, OK",State,Completer Apprentices,369,31.32,32.24
FY 2023,OK,Oklahoma,* State Total,* State Total,"* State Total, OK",State,Completer Apprentices,302,31.97,31.61
FY 2024,OK,Oklahoma,* State Total,* State Total,"* State Total, OK",State,Completer Apprentices,394,33.87,30.80
FY 2025,OK,Oklahoma,* State Total,* State Total,"* State Total, OK",State,Completer Apprentices,541,34.60,29.00
FY 2026,OK,Oklahoma,* State Total,* State Total,"* State Total, OK",State,Completer Apprentices,208,35.19,33.65
FY 2020,OR,Oregon,* State Total,* State Total,"* State Total, OR",State,Completer Apprentices,1547,47.82,46.28
FY 2021,OR,Oregon,* State Total,* State Total,"* State Total, OR",State,Completer Apprentices,1835,47.03,46.85
FY 2022,OR,Oregon,* State Total,* State Total,"* State Total, OR",State,Completer Apprentices,2245,48.30,45.36
FY 2023,OR,Oregon,* State Total,* State Total,"* State Total, OR",State,Completer Apprentices,2260,48.98,46.85
FY 2024,OR,Oregon,* State Total,* State Total,"* State Total, OR",State,Completer Apprentices,2136,47.99,43.33
FY 2025,OR,Oregon,* State Total,* State Total,"* State Total, OR",State,Completer Apprentices,1861,46.51,46.61
FY 2026,OR,Oregon,* State Total,* State Total,"* State Total, OR",State,Completer Apprentices,391,47.87,44.34
FY 2020,PA,Pennsylvania,* State Total,* State Total,"* State Total, PA",State,Completer Apprentices,2798,36.03,26.71
FY 2021,PA,Pennsylvania,* State Total,* State Total,"* State Total, PA",State,Completer Apprentices,2969,35.54,27.57
FY 2022,PA,Pennsylvania,* State Total,* State Total,"* State Total, PA",State,Completer Apprentices,2945,35.29,27.32
FY 2023,PA,Pennsylvania,* State Total,* State Total,"* State Total, PA",State,Completer Apprentices,3090,35.99,30.88
FY 2024,PA,Pennsylvania,* State Total,* State Total,"* State Total, PA",State,Completer Apprentices,4325,34.21,26.29
FY 2025,PA,Pennsylvania,* State Total,* State Total,"* State Total, PA",State,Completer Apprentices,3773,35.68,29.13
FY 2026,PA,Pennsylvania,* State Total,* State Total,"* State Total, PA",State,Completer Apprentices,1069,37.49,30.64
FY 2020,RI,Rhode Island,* State Total,* State Total,"* State Total, RI",State,Completer Apprentices,389,26.92,23.13
FY 2021,RI,Rhode Island,* State Total,* State Total,"* State Total, RI",State,Completer Apprentices,418,27.43,25.00
FY 2022,RI,Rhode Island,* State Total,* State Total,"* State Total, RI",State,Completer Apprentices,436,26.93,26.00
FY 2023,RI,Rhode Island,* State Total,* State Total,"* State Total, RI",State,Completer Apprentices,554,30.40,24.00
FY 2024,RI,Rhode Island,* State Total,* State Total,"* State Total, RI",State,Completer Apprentices,438,30.76,28.00
FY 2025,RI,Rhode Island,* State Total,* State Total,"* State Total, RI",State,Completer Apprentices,524,33.00,31.00
FY 2026,RI,Rhode Island,* State Total,* State Total,"* State Total, RI",State,Completer Apprentices,159,32.35,27.50
FY 2020,SC,South Carolina,* State Total,* State Total,"* State Total, SC",State,Completer Apprentices,1521,20.89,18.48
FY 2021,SC,South Carolina,* State Total,* State Total,"* State Total, SC",State,Completer Apprentices,7864,23.93,21.39
FY 2022,SC,South Carolina,* State Total,* State Total,"* State Total, SC",State,Completer Apprentices,1936,24.50,20.75
FY 2023,SC,South Carolina,* State Total,* State Total,"* State Total, SC",State,Completer Apprentices,3337,22.53,19.75
FY 2024,SC,South Carolina,* State Total,* State Total,"* State Total, SC",State,Completer Apprentices,1652,22.16,22.38
FY 2025,SC,South Carolina,* State Total,* State Total,"* State Total, SC",State,Completer Apprentices,2002,23.99,20.82
FY 2026,SC,South Carolina,* State Total,* State Total,"* State Total, SC",State,Completer Apprentices,883,26.01,21.56
FY 2020,SD,South Dakota,* State Total,* State Total,"* State Total, SD",State,Completer Apprentices,123,23.15,32.15
FY 2021,SD,South Dakota,* State Total,* State Total,"* State Total, SD",State,Completer Apprentices,153,24.04,21.00
FY 2022,SD,South Dakota,* State Total,* State Total,"* State Total, SD",State,Completer Apprentices,162,28.23,24.87
FY 2023,SD,South Dakota,* State Total,* State Total,"* State Total, SD",State,Completer Apprentices,163,29.16,27.16
FY 2024,SD,South Dakota,* State Total,* State Total,"* State Total, SD",State,Completer Apprentices,210,29.40,18.50
FY 2025,SD,South Dakota,* State Total,* State Total,"* State Total, SD",State,Completer Apprentices,276,29.60,28.00
FY 2026,SD,South Dakota,* State Total,* State Total,"* State Total, SD",State,Completer Apprentices,145,27.04,28.20
FY 2020,TN,Tennessee,* State Total,* State Total,"* State Total, TN",State,Completer Apprentices,811,25.23,27.37
FY 2021,TN,Tennessee,* State Total,* State Total,"* State Total, TN",State,Completer Apprentices,1029,26.01,25.00
FY 2022,TN,Tennessee,* State Total,* State Total,"* State Total, TN",State,Completer Apprentices,1189,26.46,25.71
FY 2023,TN,Tennessee,* State Total,* State Total,"* State Total, TN",State,Completer Apprentices,1342,28.63,25.05
FY 2024,TN,Tennessee,* State Total,* State Total,"* State Total, TN",State,Completer Apprentices,2301,25.88,25.84
FY 2025,TN,Tennessee,* State Total,* State Total,"* State Total, TN",State,Completer Apprentices,2439,27.51,26.00
FY 2026,TN,Tennessee,* State Total,* State Total,"* State Total, TN",State,Completer Apprentices,733,30.26,29.36
FY 2020,TX,Texas,* State Total,* State Total,"* State Total, TX",State,Completer Apprentices,2805,25.89,25.38
FY 2021,TX,Texas,* State Total,* State Total,"* State Total, TX",State,Completer Apprentices,3166,28.13,25.52
FY 2022,TX,Texas,* State Total,* State Total,"* State Total, TX",State,Completer Apprentices,4112,26.98,26.88
FY 2023,TX,Texas,* State Total,* State Total,"* State Total, TX",State,Completer Apprentices,5448,27.86,28.23
FY 2024,TX,Texas,* State Total,* State Total,"* State Total, TX",State,Completer Apprentices,5575,29.84,29.74
FY 2025,TX,Texas,* State Total,* State Total,"* State Total, TX",State,Completer Apprentices,7244,32.57,30.55
FY 2026,TX,Texas,* State Total,* State Total,"* State Total, TX",State,Completer Apprentices,2085,31.14,31.00
FY 2020,UT,Utah,* State Total,* State Total,"* State Total, UT",State,Completer Apprentices,627,29.44,31.10
FY 2021,UT,Utah,* State Total,* State Total,"* State Total, UT",State,Completer Apprentices,715,32.05,29.50
FY 2022,UT,Utah,* State Total,* State Total,"* State Total, UT",State,Completer Apprentices,788,32.36,30.88
FY 2023,UT,Utah,* State Total,* State Total,"* State Total, UT",State,Completer Apprentices,835,31.91,32.12
FY 2024,UT,Utah,* State Total,* State Total,"* State Total, UT",State,Completer Apprentices,826,33.28,35.47
FY 2025,UT,Utah,* State Total,* State Total,"* State Total, UT",State,Completer Apprentices,1034,35.41,31.60
FY 2026,UT,Utah,* State Total,* State Total,"* State Total, UT",State,Completer Apprentices,418,38.11,34.75
FY 2020,VT,Vermont,* State Total,* State Total,"* State Total, VT",State,Completer Apprentices,298,26.53,20.00
FY 2021,VT,Vermont,* State Total,* State Total,"* State Total, VT",State,Completer Apprentices,231,22.11,21.42
FY 2022,VT,Vermont,* State Total,* State Total,"* State Total, VT",State,Completer Apprentices,174,25.02,23.32
FY 2023,VT,Vermont,* State Total,* State Total,"* State Total, VT",State,Completer Apprentices,267,24.83,25.00
FY 2024,VT,Vermont,* State Total,* State Total,"* State Total, VT",State,Completer Apprentices,258,28.73,26.00
FY 2025,VT,Vermont,* State Total,* State Total,"* State Total, VT",State,Completer Apprentices,327,29.75,26.89
FY 2026,VT,Vermont,* State Total,* State Total,"* State Total, VT",State,Completer Apprentices,82,33.78,28.00
FY 2020,VA,Virginia,* State Total,* State Total,"* State Total, VA",State,Completer Apprentices,1223,21.03,18.00
FY 2021,VA,Virginia,* State Total,* State Total,"* State Total, VA",State,Completer Apprentices,1720,21.74,18.00
FY 2022,VA,Virginia,* State Total,* State Total,"* State Total, VA",State,Completer Apprentices,2005,22.63,20.00
FY 2023,VA,Virginia,* State Total,* State Total,"* State Total, VA",State,Completer Apprentices,2170,22.82,19.50
FY 2024,VA,Virginia,* State Total,* State Total,"* State Total, VA",State,Completer Apprentices,2368,22.85,22.00
FY 2025,VA,Virginia,* State Total,* State Total,"* State Total, VA",State,Completer Apprentices,2316,23.35,21.00
FY 2026,VA,Virginia,* State Total,* State Total,"* State Total, VA",State,Completer Apprentices,1350,23.16,24.41
FY 2020,WA,Washington,* State Total,* State Total,"* State Total, WA",State,Completer Apprentices,3136,39.38,40.70
FY 2021,WA,Washington,* State Total,* State Total,"* State Total, WA",State,Completer Apprentices,3155,38.36,39.05
FY 2022,WA,Washington,* State Total,* State Total,"* State Total, WA",State,Completer Apprentices,4122,34.26,32.65
FY 2023,WA,Washington,* State Total,* State Total,"* State Total, WA",State,Completer Apprentices,3864,36.27,34.34
FY 2024,WA,Washington,* State Total,* State Total,"* State Total, WA",State,Completer Apprentices,3681,35.88,41.17
FY 2025,WA,Washington,* State Total,* State Total,"* State Total, WA",State,Completer Apprentices,4217,36.82,47.86
FY 2026,WA,Washington,* State Total,* State Total,"* State Total, WA",State,Completer Apprentices,1372,38.00,42.27
FY 2020,WV,West Virginia,* State Total,* State Total,"* State Total, WV",State,Completer Apprentices,490,23.44,22.23
FY 2021,WV,West Virginia,* State Total,* State Total,"* State Total, WV",State,Completer Apprentices,596,22.43,21.46
FY 2022,WV,West Virginia,* State Total,* State Total,"* State Total, WV",State,Completer Apprentices,682,25.78,21.01
FY 2023,WV,West Virginia,* State Total,* State Total,"* State Total, WV",State,Completer Apprentices,851,26.15,20.20
FY 2024,WV,West Virginia,* State Total,* State Total,"* State Total, WV",State,Completer Apprentices,896,26.66,29.36
FY 2025,WV,West Virginia,* State Total,* State Total,"* State Total, WV",State,Completer Apprentices,582,26.92,29.71
FY 2026,WV,West Virginia,* State Total,* State Total,"* State Total, WV",State,Completer Apprentices,237,26.67,29.59
FY 2020,WI,Wisconsin,* State Total,* State Total,"* State Total, WI",State,Completer Apprentices,1878,31.68,28.02
FY 2021,WI,Wisconsin,* State Total,* State Total,"* State Total, WI",State,Completer Apprentices,2072,32.88,30.62
FY 2022,WI,Wisconsin,* State Total,* State Total,"* State Total, WI",State,Completer Apprentices,2263,33.05,31.30
FY 2023,WI,Wisconsin,* State Total,* State Total,"* State Total, WI",State,Completer Apprentices,2478,34.25,32.14
FY 2024,WI,Wisconsin,* State Total,* State Total,"* State Total, WI",State,Completer Apprentices,2208,36.71,34.92
FY 2025,WI,Wisconsin,* State Total,* State Total,"* State Total, WI",State,Completer Apprentices,2343,39.42,38.53
FY 2026,WI,Wisconsin,* State Total,* State Total,"* State Total, WI",State,Completer Apprentices,560,39.89,35.71
FY 2020,WY,Wyoming,* State Total,* State Total,"* State Total, WY",State,Completer Apprentices,54,30.93,34.14
FY 2021,WY,Wyoming,* State Total,* State Total,"* State Total, WY",State,Completer Apprentices,71,27.47,29.53
FY 2022,WY,Wyoming,* State Total,* State Total,"* State Total, WY",State,Completer Apprentices,68,32.78,32.50
FY 2023,WY,Wyoming,* State Total,* State Total,"* State Total, WY",State,Completer Apprentices,83,33.41,40.00
FY 2024,WY,Wyoming,* State Total,* State Total,"* State Total, WY",State,Completer Apprentices,84,33.11,33.94
FY 2025,WY,Wyoming,* State Total,* State Total,"* State Total, WY",State,Completer Apprentices,93,31.21,34.08
FY 2026,WY,Wyoming,* State Total,* State Total,"* State Total, WY",State,Completer Apprentices,37,41.87,45.00
FY 2020,PR,Puerto Rico,* State Total,* State Total,"* State Total, PR",State,Completer Apprentices,0,,
FY 2021,PR,Puerto Rico,* State Total,* State Total,"* State Total, PR",State,Completer Apprentices,0,,
FY 2022,PR,Puerto Rico,* State Total,* State Total,"* State Total, PR",State,Completer Apprentices,28,9.34,9.51
FY 2023,PR,Puerto Rico,* State Total,* State Total,"* State Total, PR",State,Completer Apprentices,357,19.99,10.89
FY 2024,PR,Puerto Rico,* State Total,* State Total,"* State Total, PR",State,Completer Apprentices,393,19.43,12.49
FY 2025,PR,Puerto Rico,* State Total,* State Total,"* State Total, PR",State,Completer Apprentices,205,21.95,13.81
FY 2026,PR,Puerto Rico,* State Total,* State Total,"* State Total, PR",State,Completer Apprentices,194,16.82,11.88
FY 2020,GU,Guam,* State Total,* State Total,"* State Total, GU",State,Completer Apprentices,43,14.82,15.51
FY 2021,GU,Guam,* State Total,* State Total,"* State Total, GU",State,Completer Apprentices,24,16.12,16.09
FY 2022,GU,Guam,* State Total,* State Total,"* State Total, GU",State,Completer Apprentices,31,17.73,18.05
FY 2023,GU,Guam,* State Total,* State Total,"* State Total, GU",State,Completer Apprentices,66,21.87,21.69
FY 2024,GU,Guam,* State Total,* State Total,"* State Total, GU",State,Completer Apprentices,84,20.22,18.84
FY 2025,GU,Guam,* State Total,* State Total,"* State Total, GU",State,Completer Apprentices,97,20.05,21.00
FY 2026,GU,Guam,* State Total,* State Total,"* State Total, GU",State,Completer Apprentices,61,18.50,18.44
FY 2020,AL,Alabama,* State Total,* State Total,"* State Total, AL",State,New Apprentices,1283,15.83,15.00
FY 2021,AL,Alabama,* State Total,* State Total,"* State Total, AL",State,New Apprentices,1105,15.29,13.75
FY 2022,AL,Alabama,* State Total,* State Total,"* State Total, AL",State,New Apprentices,1475,16.12,15.62
FY 2023,AL,Alabama,* State Total,* State Total,"* State Total, AL",State,New Apprentices,2158,17.39,15.00
FY 2024,AL,Alabama,* State Total,* State Total,"* State Total, AL",State,New Apprentices,2330,18.26,15.07
FY 2025,AL,Alabama,* State Total,* State Total,"* State Total, AL",State,New Apprentices,1948,18.68,15.99
FY 2026,AL,Alabama,* State Total,* State Total,"* State Total, AL",State,New Apprentices,756,18.83,16.50
FY 2020,AK,Alaska,* State Total,* State Total,"* State Total, AK",State,New Apprentices,648,20.27,19.85
FY 2021,AK,Alaska,* State Total,* State Total,"* State Total, AK",State,New Apprentices,795,20.95,19.62
FY 2022,AK,Alaska,* State Total,* State Total,"* State Total, AK",State,New Apprentices,1024,22.14,21.33
FY 2023,AK,Alaska,* State Total,* State Total,"* State Total, AK",State,New Apprentices,946,22.52,22.50
FY 2024,AK,Alaska,* State Total,* State Total,"* State Total, AK",State,New Apprentices,1065,24.60,26.36
FY 2025,AK,Alaska,* State Total,* State Total,"* State Total, AK",State,New Apprentices,1112,26.87,28.48
FY 2026,AK,Alaska,* State Total,* State Total,"* State Total, AK",State,New Apprentices,342,26.74,23.55
FY 2020,AZ,Arizona,* State Total,* State Total,"* State Total, AZ",State,New Apprentices,2028,16.70,15.35
FY 2021,AZ,Arizona,* State Total,* State Total,"* State Total, AZ",State,New Apprentices,2179,17.52,15.00
FY 2022,AZ,Arizona,* State Total,* State Total,"* State Total, AZ",State,New Apprentices,3153,18.46,15.25
FY 2023,AZ,Arizona,* State Total,* State Total,"* State Total, AZ",State,New Apprentices,4066,19.06,18.21
FY 2024,AZ,Arizona,* State Total,* State Total,"* State Total, AZ",State,New Apprentices,4696,19.99,16.63
FY 2025,AZ,Arizona,* State Total,* State Total,"* State Total, AZ",State,New Apprentices,4313,20.34,18.31
FY 2026,AZ,Arizona,* State Total,* State Total,"* State Total, AZ",State,New Apprentices,2027,21.81,21.00
FY 2020,AR,Arkansas,* State Total,* State Total,"* State Total, AR",State,New Apprentices,2013,14.25,12.00
FY 2021,AR,Arkansas,* State Total,* State Total,"* State Total, AR",State,New Apprentices,2772,14.81,12.62
FY 2022,AR,Arkansas,* State Total,* State Total,"* State Total, AR",State,New Apprentices,2819,16.09,15.00
FY 2023,AR,Arkansas,* State Total,* State Total,"* State Total, AR",State,New Apprentices,3186,17.25,15.00
FY 2024,AR,Arkansas,* State Total,* State Total,"* State Total, AR",State,New Apprentices,4722,18.46,15.50
FY 2025,AR,Arkansas,* State Total,* State Total,"* State Total, AR",State,New Apprentices,4544,17.93,16.00
FY 2026,AR,Arkansas,* State Total,* State Total,"* State Total, AR",State,New Apprentices,1555,17.02,16.00
FY 2020,CA,California,* State Total,* State Total,"* State Total, CA",State,New Apprentices,27515,20.33,17.42
FY 2021,CA,California,* State Total,* State Total,"* State Total, CA",State,New Apprentices,25600,20.55,18.90
FY 2022,CA,California,* State Total,* State Total,"* State Total, CA",State,New Apprentices,29877,20.71,19.56
FY 2023,CA,California,* State Total,* State Total,"* State Total, CA",State,New Apprentices,32200,21.92,21.47
FY 2024,CA,California,* State Total,* State Total,"* State Total, CA",State,New Apprentices,34035,22.54,21.63
FY 2025,CA,California,* State Total,* State Total,"* State Total, CA",State,New Apprentices,33899,23.34,23.86
