fy,abbr,state,County,County 2,"County, State",Local Board,type,count,aveWage,MedianWageByCounty
FY 2023,IN,Indiana,* State Total,* State Total,"* State Total, IN",State,Active Apprentices,23332,19.46,19.84
FY 2024,IN,Indiana,* State Total,* State Total,"* State Total, IN",State,Active Apprentices,25311,17.63,20.15
FY 2025,IN,Indiana,* State Total,* State Total,"* State Total, IN",State,Active Apprentices,25371,18.52,20.92
FY 2026,IN,Indiana,* State Total,* State Total,"* State Total, IN",State,Active Apprentices,25513,18.50,21.50
FY 2020,IA,Iowa,* State Total,* State Total,"* State Total, IA",State,Active Apprentices,6757,17.58,15.00
FY 2021,IA,Iowa,* State Total,* State Total,"* State Total, IA",State,Active Apprentices,7510,18.47,15.00
FY 2022,IA,Iowa,* State Total,* State Total,"* State Total, IA",State,Active Apprentices,8652,18.71,15.50
FY 2023,IA,Iowa,* State Total,* State Total,"* State Total, IA",State,Active Apprentices,9378,19.30,15.20
FY 2024,IA,Iowa,* State Total,* State Total,"* State Total, IA",State,Active Apprentices,9173,19.74,16.72
FY 2025,IA,Iowa,* State Total,* State Total,"* State Total, IA",State,Active Apprentices,9312,20.98,16.75
FY 2026,IA,Iowa,* State Total,* State Total,"* State Total, IA",State,Active Apprentices,9476,21.97,17.25
FY 2020,KS,Kansas,* State Total,* State Total,"* State Total, KS",State,Active Apprentices,1900,16.29,18.00
FY 2021,KS,Kansas,* State Total,* State Total,"* State Total, KS",State,Active Apprentices,2003,16.92,18.27
FY 2022,KS,Kansas,* State Total,* State Total,"* State Total, KS",State,Active Apprentices,2126,17.73,18.97
FY 2023,KS,Kansas,* State Total,* State Total,"* State Total, KS",State,Active Apprentices,2281,18.29,19.50
FY 2024,KS,Kansas,* State Total,* State Total,"* State Total, KS",State,Active Apprentices,2793,19.63,19.74
FY 2025,KS,Kansas,* State Total,* State Total,"* State Total, KS",State,Active Apprentices,3740,20.03,20.00
FY 2026,KS,Kansas,* State Total,* State Total,"* State Total, KS",State,Active Apprentices,3766,19.85,20.00
FY 2020,KY,Kentucky,* State Total,* State Total,"* State Total, KY",State,Active Apprentices,5048,16.99,14.00
FY 2021,KY,Kentucky,* State Total,* State Total,"* State Total, KY",State,Active Apprentices,5147,17.39,14.00
FY 2022,KY,Kentucky,* State Total,* State Total,"* State Total, KY",State,Active Apprentices,5887,18.13,16.12
FY 2023,KY,Kentucky,* State Total,* State Total,"* State Total, KY",State,Active Apprentices,6830,18.62,17.50
FY 2024,KY,Kentucky,* State Total,* State Total,"* State Total, KY",State,Active Apprentices,7576,19.42,17.00
FY 2025,KY,Kentucky,* State Total,* State Total,"* State Total, KY",State,Active Apprentices,7175,19.90,17.00
FY 2026,KY,Kentucky,* State Total,* State Total,"* State Total, KY",State,Active Apprentices,7212,19.89,17.00
FY 2020,LA,Louisiana,* State Total,* State Total,"* State Total, LA",State,Active Apprentices,3393,14.93,13.05
FY 2021,LA,Louisiana,* State Total,* State Total,"* State Total, LA",State,Active Apprentices,3527,15.43,13.19
FY 2022,LA,Louisiana,* State Total,* State Total,"* State Total, LA",State,Active Apprentices,3833,16.31,13.41
FY 2023,LA,Louisiana,* State Total,* State Total,"* State Total, LA",State,Active Apprentices,4144,17.03,13.86
FY 2024,LA,Louisiana,* State Total,* State Total,"* State Total, LA",State,Active Apprentices,4061,16.80,13.94
FY 2025,LA,Louisiana,* State Total,* State Total,"* State Total, LA",State,Active Apprentices,4386,17.42,15.82
FY 2026,LA,Louisiana,* State Total,* State Total,"* State Total, LA",State,Active Apprentices,4473,17.75,16.50
FY 2020,ME,Maine,* State Total,* State Total,"* State Total, ME",State,Active Apprentices,785,17.15,15.05
FY 2021,ME,Maine,* State Total,* State Total,"* State Total, ME",State,Active Apprentices,966,17.40,16.25
FY 2022,ME,Maine,* State Total,* State Total,"* State Total, ME",State,Active Apprentices,974,18.00,17.06
FY 2023,ME,Maine,* State Total,* State Total,"* State Total, ME",State,Active Apprentices,1224,18.61,17.50
FY 2024,ME,Maine,* State Total,* State Total,"* State Total, ME",State,Active Apprentices,1360,20.64,17.25
FY 2025,ME,Maine,* State Total,* State Total,"* State Total, ME",State,Active Apprentices,1692,21.23,19.28
FY 2026,ME,Maine,* State Total,* State Total,"* State Total, ME",State,Active Apprentices,1653,21.29,19.28
FY 2020,MD,Maryland,* State Total,* State Total,"* State Total, MD",State,Active Apprentices,18116,16.60,13.89
FY 2021,MD,Maryland,* State Total,* State Total,"* State Total, MD",State,Active Apprentices,18098,17.20,14.57
FY 2022,MD,Maryland,* State Total,* State Total,"* State Total, MD",State,Active Apprentices,17668,17.84,15.12
FY 2023,MD,Maryland,* State Total,* State Total,"* State Total, MD",State,Active Apprentices,18107,18.31,16.00
FY 2024,MD,Maryland,* State Total,* State Total,"* State Total, MD",State,Active Apprentices,20471,18.81,16.00
FY 2025,MD,Maryland,* State Total,* State Total,"* State Total, MD",State,Active Apprentices,21120,19.90,17.11
FY 2026,MD,Maryland,* State Total,* State Total,"* State Total, MD",State,Active Apprentices,20924,20.17,17.21
FY 2020,MA,Massachusetts,* State Total,* State Total,"* State Total, MA",State,Active Apprentices,9266,18.02,16.50
FY 2021,MA,Massachusetts,* State Total,* State Total,"* State Total, MA",State,Active Apprentices,9810,19.53,15.75
FY 2022,MA,Massachusetts,* State Total,* State Total,"* State Total, MA",State,Active Apprentices,9479,20.42,15.85
FY 2023,MA,Massachusetts,* State Total,* State Total,"* State Total, MA",State,Active Apprentices,9139,20.82,15.85
FY 2024,MA,Massachusetts,* State Total,* State Total,"* State Total, MA",State,Active Apprentices,8136,21.13,17.12
FY 2025,MA,Massachusetts,* State Total,* State Total,"* State Total, MA",State,Active Apprentices,9469,21.81,16.52
FY 2026,MA,Massachusetts,* State Total,* State Total,"* State Total, MA",State,Active Apprentices,9751,21.90,16.52
